"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","0x0","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","441"," ","html-keyboard-response","3","2.0.0","1","0x0","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","546"," ","html-keyboard-response","4","2.0.0","2","0x0","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","523"," ","html-keyboard-response","5","2.0.0","2","0x0","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","486"," ","html-keyboard-response","6","2.0.0","2","0x0","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","512"," ","html-keyboard-response","7","2.0.0","2","0x0","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","649"," ","html-keyboard-response","8","2.0.0","2","0x0","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","482","1","html-button-response","9","2.0.0","2","0x0","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","0x0","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","537"," ","html-keyboard-response","11","2.0.0","2","0x0","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","757"," ","html-keyboard-response","12","2.0.0","2","0x0","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","530"," ","html-keyboard-response","13","2.0.0","2","0x0","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","605"," ","html-keyboard-response","14","2.0.0","2","0x0","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","414"," ","html-keyboard-response","15","2.0.0","2","0x0","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","511"," ","html-keyboard-response","16","2.0.0","2","0x0","exp_item","s5","or","pp","",""
