"rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","task","item_number","item_type","segment","clause_type","number","stimulus","question","correct_answer","part_answer","correct"
"891763","{""part_id"":""34""}","survey-html-form","0","2.0.0","891767","34","","","","","","","","","","",""
"3701"," ","html-keyboard-response","2","2.0.0","959558","34","item","null","pr_item","s0","sr","ss","<p class=""trial-stimulus"">_______ | ____ | _______ | _______ | ____</p>","","","",""
"535"," ","html-keyboard-response","3","2.0.0","960093","34","item","null","pr_item","s1","sr","ss","<p class=""trial-stimulus"">The cat | ____ | _______ | _______ | ____</p>","","","",""
"399"," ","html-keyboard-response","4","2.0.0","960493","34","item","null","pr_item","s2","sr","ss","<p class=""trial-stimulus"">_______ | that | _______ | _______ | ____</p>","","","",""
"607"," ","html-keyboard-response","5","2.0.0","961101","34","item","null","pr_item","s3","sr","ss","<p class=""trial-stimulus"">_______ | ____ | watches | _______ | ____</p>","","","",""
"439"," ","html-keyboard-response","6","2.0.0","961541","34","item","null","pr_item","s4","sr","ss","<p class=""trial-stimulus"">_______ | ____ | _______ | the dog | ____</p>","","","",""
"2040"," ","html-keyboard-response","7","2.0.0","963582","34","item","null","pr_item","s5","sr","ss","<p class=""trial-stimulus"">_______ | ____ | _______ | _______ | eats</p>","false","","",""
"2629"," ","html-keyboard-response","9","2.0.0","966717","34","item","null","pr_item","s0","or","ss","<p class=""trial-stimulus"">_________ | ____ | _________ | _____ | ______</p>","","","",""
"839"," ","html-keyboard-response","10","2.0.0","967557","34","item","null","pr_item","s1","or","ss","<p class=""trial-stimulus"">The horse | ____ | _________ | _____ | ______</p>","","","",""
"495"," ","html-keyboard-response","11","2.0.0","968053","34","item","null","pr_item","s2","or","ss","<p class=""trial-stimulus"">_________ | that | _________ | _____ | ______</p>","","","",""
"927"," ","html-keyboard-response","12","2.0.0","968982","34","item","null","pr_item","s3","or","ss","<p class=""trial-stimulus"">_________ | ____ | the zebra | _____ | ______</p>","","","",""
"639"," ","html-keyboard-response","13","2.0.0","969621","34","item","null","pr_item","s4","or","ss","<p class=""trial-stimulus"">_________ | ____ | _________ | kicks | ______</p>","","","",""
"2808"," ","html-keyboard-response","14","2.0.0","972429","34","item","null","pr_item","s5","or","ss","<p class=""trial-stimulus"">_________ | ____ | _________ | _____ | laughs</p>","<div class='container trial-question'>
            <h2 class='trial-question-header'>Who laughs?</h2>
            <div>
              <div class='container'>
                <h2 class='trial-question-answer'>The zebra</h2>
                <h2 class='trial-question-key'>F</h2>
              </div>
              <div class='container'>
                <h2 class='trial-question-answer'>The horse</h2>
                <h2 class='trial-question-key'>J</h2>
              </div>
            </div>
          </div>","","",""
"8102","j","html-keyboard-response","15","2.0.0","981038","34","question","null","pr_item","","or","ss","<div class='container trial-question'>
            <h2 class='trial-question-header'>Who laughs?</h2>
            <div>
              <div class='container'>
                <h2 class='trial-question-answer'>The zebra</h2>
                <h2 class='trial-question-key'>F</h2>
              </div>
              <div class='container'>
                <h2 class='trial-question-answer'>The horse</h2>
                <h2 class='trial-question-key'>J</h2>
              </div>
            </div>
          </div>","","j","j","1"
"2072"," ","html-keyboard-response","17","2.0.0","1020773","34","item","7","fill_item","s0","sr","ss","<p class=""trial-stimulus"">__________ | ___ | _____ | __________ | _____</p>","","","",""
"1056"," ","html-keyboard-response","18","2.0.0","1021829","34","item","7","fill_item","s1","sr","ss","<p class=""trial-stimulus"">The singer | ___ | _____ | __________ | _____</p>","","","",""
"544"," ","html-keyboard-response","19","2.0.0","1022373","34","item","7","fill_item","s2","sr","ss","<p class=""trial-stimulus"">__________ | who | _____ | __________ | _____</p>","","","",""
"527"," ","html-keyboard-response","20","2.0.0","1022901","34","item","7","fill_item","s3","sr","ss","<p class=""trial-stimulus"">__________ | ___ | grabs | __________ | _____</p>","","","",""
"680"," ","html-keyboard-response","21","2.0.0","1023581","34","item","7","fill_item","s4","sr","ss","<p class=""trial-stimulus"">__________ | ___ | _____ | the guitar | _____</p>","","","",""
"4904"," ","html-keyboard-response","22","2.0.0","1028485","34","item","7","fill_item","s5","sr","ss","<p class=""trial-stimulus"">__________ | ___ | _____ | __________ | cries</p>","false","","",""
"1409"," ","html-keyboard-response","24","2.0.0","1030397","34","item","7","exp_item","s0","sr","ss","<p class=""trial-stimulus"">_______ | ____ | ______ | _______ | _____</p>","","","",""
"576"," ","html-keyboard-response","25","2.0.0","1030973","34","item","7","exp_item","s1","sr","ss","<p class=""trial-stimulus"">The dog | ____ | ______ | _______ | _____</p>","","","",""
"623"," ","html-keyboard-response","26","2.0.0","1031597","34","item","7","exp_item","s2","sr","ss","<p class=""trial-stimulus"">_______ | that | ______ | _______ | _____</p>","","","",""
"679"," ","html-keyboard-response","27","2.0.0","1032277","34","item","7","exp_item","s3","sr","ss","<p class=""trial-stimulus"">_______ | ____ | pushes | _______ | _____</p>","","","",""
"640"," ","html-keyboard-response","28","2.0.0","1032917","34","item","7","exp_item","s4","sr","ss","<p class=""trial-stimulus"">_______ | ____ | ______ | the cat | _____</p>","","","",""
"1399"," ","html-keyboard-response","29","2.0.0","1034317","34","item","7","exp_item","s5","sr","ss","<p class=""trial-stimulus"">_______ | ____ | ______ | _______ | cries</p>","false","","",""
"3257"," ","html-keyboard-response","31","2.0.0","1038077","34","item","7","exp_item","s0","sr","pp","<p class=""trial-stimulus"">________ | ____ | ____ | ________ | ___</p>","","","",""
"471"," ","html-keyboard-response","32","2.0.0","1038549","34","item","7","exp_item","s1","sr","pp","<p class=""trial-stimulus"">The dogs | ____ | ____ | ________ | ___</p>","","","",""
"471"," ","html-keyboard-response","33","2.0.0","1039021","34","item","7","exp_item","s2","sr","pp","<p class=""trial-stimulus"">________ | that | ____ | ________ | ___</p>","","","",""
"400"," ","html-keyboard-response","34","2.0.0","1039421","34","item","7","exp_item","s3","sr","pp","<p class=""trial-stimulus"">________ | ____ | push | ________ | ___</p>","","","",""
"759"," ","html-keyboard-response","35","2.0.0","1040181","34","item","7","exp_item","s4","sr","pp","<p class=""trial-stimulus"">________ | ____ | ____ | the cats | ___</p>","","","",""
"712"," ","html-keyboard-response","36","2.0.0","1040893","34","item","7","exp_item","s5","sr","pp","<p class=""trial-stimulus"">________ | ____ | ____ | ________ | cry</p>","<div class='container trial-question'>
      <h2 class='trial-question-header'>Who cries?</h2>
      <div>
        <div class='container'>
          <h2 class='trial-question-answer'>The dogs</h2>
          <h2 class='trial-question-key'>F</h2>
        </div>
        <div class='container'>
          <h2 class='trial-question-answer'>The cats</h2>
          <h2 class='trial-question-key'>J</h2>
        </div>
      </div>
    </div>","","",""
"3659","f","html-keyboard-response","37","2.0.0","1045061","34","question","7","exp_item","","sr","pp","<div class='container trial-question'>
      <h2 class='trial-question-header'>Who cries?</h2>
      <div>
        <div class='container'>
          <h2 class='trial-question-answer'>The dogs</h2>
          <h2 class='trial-question-key'>F</h2>
        </div>
        <div class='container'>
          <h2 class='trial-question-answer'>The cats</h2>
          <h2 class='trial-question-key'>J</h2>
        </div>
      </div>
    </div>","","f","f","1"
"1842"," ","html-keyboard-response","38","2.0.0","1047413","34","item","1","exp_item","s0","sr","ss","<p class=""trial-stimulus"">_________ | ____ | ______ | _________ | _____</p>","","","",""
"759"," ","html-keyboard-response","39","2.0.0","1048173","34","item","1","exp_item","s1","sr","ss","<p class=""trial-stimulus"">The horse | ____ | ______ | _________ | _____</p>","","","",""
"4952"," ","html-keyboard-response","40","2.0.0","1053125","34","item","1","exp_item","s2","sr","ss","<p class=""trial-stimulus"">_________ | that | ______ | _________ | _____</p>","","","",""
"1608"," ","html-keyboard-response","41","2.0.0","1054733","34","item","1","exp_item","s3","sr","ss","<p class=""trial-stimulus"">_________ | ____ | chases | _________ | _____</p>","","","",""
"975"," ","html-keyboard-response","42","2.0.0","1055709","34","item","1","exp_item","s4","sr","ss","<p class=""trial-stimulus"">_________ | ____ | ______ | the zebra | _____</p>","","","",""
"2095"," ","html-keyboard-response","43","2.0.0","1057805","34","item","1","exp_item","s5","sr","ss","<p class=""trial-stimulus"">_________ | ____ | ______ | _________ | falls</p>","<div class='container trial-question'>
      <h2 class='trial-question-header'>Who falls?</h2>
      <div>
        <div class='container'>
          <h2 class='trial-question-answer'>The zebra</h2>
          <h2 class='trial-question-key'>F</h2>
        </div>
        <div class='container'>
          <h2 class='trial-question-answer'>The horse</h2>
          <h2 class='trial-question-key'>J</h2>
        </div>
      </div>
    </div>","","",""
"3157","j","html-keyboard-response","44","2.0.0","1061477","34","question","1","exp_item","","sr","ss","<div class='container trial-question'>
      <h2 class='trial-question-header'>Who falls?</h2>
      <div>
        <div class='container'>
          <h2 class='trial-question-answer'>The zebra</h2>
          <h2 class='trial-question-key'>F</h2>
        </div>
        <div class='container'>
          <h2 class='trial-question-answer'>The horse</h2>
          <h2 class='trial-question-key'>J</h2>
        </div>
      </div>
    </div>","","j","j","1"
"1955"," ","html-keyboard-response","45","2.0.0","1063941","34","item","1","exp_item","s0","sr","pp","<p class=""trial-stimulus"">__________ | ____ | _____ | __________ | ____</p>","","","",""
"599"," ","html-keyboard-response","46","2.0.0","1064541","34","item","1","exp_item","s1","sr","pp","<p class=""trial-stimulus"">The horses | ____ | _____ | __________ | ____</p>","","","",""
"527"," ","html-keyboard-response","47","2.0.0","1065069","34","item","1","exp_item","s2","sr","pp","<p class=""trial-stimulus"">__________ | that | _____ | __________ | ____</p>","","","",""
"456"," ","html-keyboard-response","48","2.0.0","1065525","34","item","1","exp_item","s3","sr","pp","<p class=""trial-stimulus"">__________ | ____ | chase | __________ | ____</p>","","","",""
"687"," ","html-keyboard-response","49","2.0.0","1066213","34","item","1","exp_item","s4","sr","pp","<p class=""trial-stimulus"">__________ | ____ | _____ | the zebras | ____</p>","","","",""
"951"," ","html-keyboard-response","50","2.0.0","1067165","34","item","1","exp_item","s5","sr","pp","<p class=""trial-stimulus"">__________ | ____ | _____ | __________ | fall</p>","false","","",""
"2887"," ","html-keyboard-response","52","2.0.0","1070557","34","item","7","exp_item","s0","or","pp","<p class=""trial-stimulus"">________ | ____ | ________ | ____ | ___</p>","","","",""
"424"," ","html-keyboard-response","53","2.0.0","1070981","34","item","7","exp_item","s1","or","pp","<p class=""trial-stimulus"">The dogs | ____ | ________ | ____ | ___</p>","","","",""
"407"," ","html-keyboard-response","54","2.0.0","1071389","34","item","7","exp_item","s2","or","pp","<p class=""trial-stimulus"">________ | that | ________ | ____ | ___</p>","","","",""
"952"," ","html-keyboard-response","55","2.0.0","1072341","34","item","7","exp_item","s3","or","pp","<p class=""trial-stimulus"">________ | ____ | the cats | ____ | ___</p>","","","",""
"2767"," ","html-keyboard-response","56","2.0.0","1075109","34","item","7","exp_item","s4","or","pp","<p class=""trial-stimulus"">________ | ____ | ________ | push | ___</p>","","","",""
"4199"," ","html-keyboard-response","57","2.0.0","1079309","34","item","7","exp_item","s5","or","pp","<p class=""trial-stimulus"">________ | ____ | ________ | ____ | cry</p>","false","","",""
"5937"," ","html-keyboard-response","59","2.0.0","1085757","34","item","4","exp_item","s0","sr","sp","<p class=""trial-stimulus"">_________ | ____ | _______ | __________ | ____</p>","","","",""
"528"," ","html-keyboard-response","60","2.0.0","1086285","34","item","4","exp_item","s1","sr","sp","<p class=""trial-stimulus"">The zebra | ____ | _______ | __________ | ____</p>","","","",""
"384"," ","html-keyboard-response","61","2.0.0","1086669","34","item","4","exp_item","s2","sr","sp","<p class=""trial-stimulus"">_________ | that | _______ | __________ | ____</p>","","","",""
"463"," ","html-keyboard-response","62","2.0.0","1087133","34","item","4","exp_item","s3","sr","sp","<p class=""trial-stimulus"">_________ | ____ | follows | __________ | ____</p>","","","",""
"2520"," ","html-keyboard-response","63","2.0.0","1089653","34","item","4","exp_item","s4","sr","sp","<p class=""trial-stimulus"">_________ | ____ | _______ | the horses | ____</p>","","","",""
"735"," ","html-keyboard-response","64","2.0.0","1090389","34","item","4","exp_item","s5","sr","sp","<p class=""trial-stimulus"">_________ | ____ | _______ | __________ | runs</p>","false","","",""
"2277"," ","html-keyboard-response","66","2.0.0","1093181","34","item","7","exp_item","s0","or","sp","<p class=""trial-stimulus"">_______ | ____ | ________ | ____ | _____</p>","","","",""
"911"," ","html-keyboard-response","67","2.0.0","1094093","34","item","7","exp_item","s1","or","sp","<p class=""trial-stimulus"">The dog | ____ | ________ | ____ | _____</p>","","","",""
"6096"," ","html-keyboard-response","68","2.0.0","1100189","34","item","7","exp_item","s2","or","sp","<p class=""trial-stimulus"">_______ | that | ________ | ____ | _____</p>","","","",""
"1975"," ","html-keyboard-response","69","2.0.0","1102165","34","item","7","exp_item","s3","or","sp","<p class=""trial-stimulus"">_______ | ____ | the cats | ____ | _____</p>","","","",""
"584"," ","html-keyboard-response","70","2.0.0","1102750","34","item","7","exp_item","s4","or","sp","<p class=""trial-stimulus"">_______ | ____ | ________ | push | _____</p>","","","",""
"1190"," ","html-keyboard-response","71","2.0.0","1103941","34","item","7","exp_item","s5","or","sp","<p class=""trial-stimulus"">_______ | ____ | ________ | ____ | cries</p>","false","","",""
"7184"," ","html-keyboard-response","73","2.0.0","1111637","34","item","7","exp_item","s0","or","ss","<p class=""trial-stimulus"">_______ | ____ | _______ | ______ | _____</p>","","","",""
"799"," ","html-keyboard-response","74","2.0.0","1112437","34","item","7","exp_item","s1","or","ss","<p class=""trial-stimulus"">The dog | ____ | _______ | ______ | _____</p>","","","",""
"847"," ","html-keyboard-response","75","2.0.0","1113285","34","item","7","exp_item","s2","or","ss","<p class=""trial-stimulus"">_______ | that | _______ | ______ | _____</p>","","","",""
"1184"," ","html-keyboard-response","76","2.0.0","1114469","34","item","7","exp_item","s3","or","ss","<p class=""trial-stimulus"">_______ | ____ | the cat | ______ | _____</p>","","","",""
"1047"," ","html-keyboard-response","77","2.0.0","1115517","34","item","7","exp_item","s4","or","ss","<p class=""trial-stimulus"">_______ | ____ | _______ | pushes | _____</p>","","","",""
"1960"," ","html-keyboard-response","78","2.0.0","1117477","34","item","7","exp_item","s5","or","ss","<p class=""trial-stimulus"">_______ | ____ | _______ | ______ | cries</p>","<div class='container trial-question'>
      <h2 class='trial-question-header'>Who cries?</h2>
      <div>
        <div class='container'>
          <h2 class='trial-question-answer'>The dog</h2>
          <h2 class='trial-question-key'>F</h2>
        </div>
        <div class='container'>
          <h2 class='trial-question-answer'>The cat</h2>
          <h2 class='trial-question-key'>J</h2>
        </div>
      </div>
    </div>","","",""
"10355","f","html-keyboard-response","79","2.0.0","1128341","34","question","7","exp_item","","or","ss","<div class='container trial-question'>
      <h2 class='trial-question-header'>Who cries?</h2>
      <div>
        <div class='container'>
          <h2 class='trial-question-answer'>The dog</h2>
          <h2 class='trial-question-key'>F</h2>
        </div>
        <div class='container'>
          <h2 class='trial-question-answer'>The cat</h2>
          <h2 class='trial-question-key'>J</h2>
        </div>
      </div>
    </div>","","f","f","1"
"3072"," ","html-keyboard-response","80","2.0.0","1131925","34","item","7","exp_item","s0","sr","ps","<p class=""trial-stimulus"">________ | ____ | ____ | _______ | ___</p>","","","",""
"759"," ","html-keyboard-response","81","2.0.0","1132685","34","item","7","exp_item","s1","sr","ps","<p class=""trial-stimulus"">The dogs | ____ | ____ | _______ | ___</p>","","","",""
"4959"," ","html-keyboard-response","82","2.0.0","1137645","34","item","7","exp_item","s2","sr","ps","<p class=""trial-stimulus"">________ | that | ____ | _______ | ___</p>","","","",""
"688"," ","html-keyboard-response","83","2.0.0","1138333","34","item","7","exp_item","s3","sr","ps","<p class=""trial-stimulus"">________ | ____ | push | _______ | ___</p>","","","",""
"480"," ","html-keyboard-response","84","2.0.0","1138813","34","item","7","exp_item","s4","sr","ps","<p class=""trial-stimulus"">________ | ____ | ____ | the cat | ___</p>","","","",""
"2615"," ","html-keyboard-response","85","2.0.0","1141429","34","item","7","exp_item","s5","sr","ps","<p class=""trial-stimulus"">________ | ____ | ____ | _______ | cry</p>","false","","",""
"1349"," ","html-keyboard-response","87","2.0.0","1143285","34","item","13","fill_item","s0","sr","ss","<p class=""trial-stimulus"">_________ | ___ | _____ | __________ | ______</p>","","","",""
"656"," ","html-keyboard-response","88","2.0.0","1143941","34","item","13","fill_item","s1","sr","ss","<p class=""trial-stimulus"">The woman | ___ | _____ | __________ | ______</p>","","","",""
"392"," ","html-keyboard-response","89","2.0.0","1144333","34","item","13","fill_item","s2","sr","ss","<p class=""trial-stimulus"">_________ | who | _____ | __________ | ______</p>","","","",""
"343"," ","html-keyboard-response","90","2.0.0","1144677","34","item","13","fill_item","s3","sr","ss","<p class=""trial-stimulus"">_________ | ___ | burns | __________ | ______</p>","","","",""
"704"," ","html-keyboard-response","91","2.0.0","1145381","34","item","13","fill_item","s4","sr","ss","<p class=""trial-stimulus"">_________ | ___ | _____ | the letter | ______</p>","","","",""
