"task","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","age","gender","lang_ca","lang_sp","lang_en","stimulus","item_type","segment","clause_type","number","correct_answer","answer"
"survey","9875","{""age"":""23"",""gender"":""female"",""lang_ca"":""true"",""lang_sp"":""true"",""lang_en"":""true""}","survey-html-form","1","2.0.0","9878","7co","23","female","true","true","true","","","","","","",""
"fixation","null","null","html-keyboard-response","3","2.0.0","9879","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","757"," ","html-keyboard-response","4","2.0.0","9880","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | ______ | _________ | _____</p>","exp_item","s0","sr","ss","",""
"item","853"," ","html-keyboard-response","5","2.0.0","9880","7co","23","female","true","true","true","<p class=""stimulus"">The horse | ____ | ______ | _________ | _____</p>","exp_item","s1","sr","ss","",""
"item","641"," ","html-keyboard-response","6","2.0.0","9880","7co","23","female","true","true","true","<p class=""stimulus"">_________ | that | ______ | _________ | _____</p>","exp_item","s2","sr","ss","",""
"item","453"," ","html-keyboard-response","7","2.0.0","9880","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | chases | _________ | _____</p>","exp_item","s3","sr","ss","",""
"item","719"," ","html-keyboard-response","8","2.0.0","9881","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | ______ | the zebra | _____</p>","exp_item","s4","sr","ss","",""
"item","854"," ","html-keyboard-response","9","2.0.0","9881","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | ______ | _________ | falls</p>","exp_item","s5","sr","ss","",""
"question","767","1","html-button-response","10","2.0.0","9881","7co","23","female","true","true","true","<h2>Does the horse that chases the zebra fall?</h2>","","","sr","ss","true","false"
"fixation","null","null","html-keyboard-response","11","2.0.0","9881","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","797"," ","html-keyboard-response","12","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | ______ | __________ | ______</p>","fill_item","s0","sr","ss","",""
"item","616"," ","html-keyboard-response","13","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">The woman | ___ | ______ | __________ | ______</p>","fill_item","s1","sr","ss","",""
"item","604"," ","html-keyboard-response","14","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">_________ | who | ______ | __________ | ______</p>","fill_item","s2","sr","ss","",""
"item","587"," ","html-keyboard-response","15","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | stores |___________ | ______</p>","fill_item","s3","sr","ss","",""
"item","562"," ","html-keyboard-response","16","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | ______ | the letter | ______</p>","fill_item","s4","sr","ss","",""
"item","646"," ","html-keyboard-response","17","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | ______ | __________ | murmurs</p>","fill_item","s5","sr","ss","",""
"question","636","0","html-button-response","18","2.0.0","9882","7co","23","female","true","true","true","<h2>Does the woman who stores the letter murmur?</h2>","","","sr","ss","true","true"
"fixation","null","null","html-keyboard-response","19","2.0.0","9882","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","850"," ","html-keyboard-response","20","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ___ | ________ | _____</p>","exp_item","s0","sr","pp","",""
"item","560"," ","html-keyboard-response","21","2.0.0","9882","7co","23","female","true","true","true","<p class=""stimulus"">The cats | ____ | ___ | ________ | _____</p>","exp_item","s1","sr","pp","",""
"item","669"," ","html-keyboard-response","22","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">________ | that | ___ | ________ | _____</p>","exp_item","s2","sr","pp","",""
"item","763"," ","html-keyboard-response","23","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | hug | ________ | _____</p>","exp_item","s3","sr","pp","",""
"item","552"," ","html-keyboard-response","24","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ___ | the dogs | _____</p>","exp_item","s4","sr","pp","",""
"item","814"," ","html-keyboard-response","25","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ___ | ________ | smile</p>","exp_item","s5","sr","pp","",""
"question","691","1","html-button-response","26","2.0.0","9883","7co","23","female","true","true","true","<h2>Do the cats that hug the dogs smile?</h2>","","","sr","pp","true","false"
"fixation","null","null","html-keyboard-response","27","2.0.0","9883","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","606"," ","html-keyboard-response","28","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | ______ | __________ | ______</p>","fill_item","s0","sr","ss","",""
"item","800"," ","html-keyboard-response","29","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">The woman | ___ | ______ | __________ | ______</p>","fill_item","s1","sr","ss","",""
"item","487"," ","html-keyboard-response","30","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">_________ | who | ______ | __________ | ______</p>","fill_item","s2","sr","ss","",""
"item","710"," ","html-keyboard-response","31","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | writes |___________ | ______</p>","fill_item","s3","sr","ss","",""
"item","779"," ","html-keyboard-response","32","2.0.0","9883","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | ______ | the letter | ______</p>","fill_item","s4","sr","ss","",""
"item","537"," ","html-keyboard-response","33","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ___ | ______ | __________ | smiles</p>","fill_item","s5","sr","ss","",""
"question","442","1","html-button-response","34","2.0.0","9884","7co","23","female","true","true","true","<h2>Does the woman who writes the letter smile?</h2>","","","sr","ss","true","false"
"fixation","null","null","html-keyboard-response","35","2.0.0","9884","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","488"," ","html-keyboard-response","36","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | _______ | ____ | _____</p>","exp_item","s0","or","ps","",""
"item","600"," ","html-keyboard-response","37","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">The cats | ____ | _______ | ____ | _____</p>","exp_item","s1","or","ps","",""
"item","853"," ","html-keyboard-response","38","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">________ | that | _______ | ____ | _____</p>","exp_item","s2","or","ps","",""
"item","596"," ","html-keyboard-response","39","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | the dog | ____ | _____</p>","exp_item","s3","or","ps","",""
"item","387"," ","html-keyboard-response","40","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | _______ | hugs | _____</p>","exp_item","s4","or","ps","",""
"item","522"," ","html-keyboard-response","41","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | _______ | ____ | smile</p>","exp_item","s5","or","ps","",""
"question","846","0","html-button-response","42","2.0.0","9884","7co","23","female","true","true","true","<h2>Do the cats that the dog hugs smile?</h2>","","","or","ps","true","true"
"fixation","null","null","html-keyboard-response","43","2.0.0","9884","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","524"," ","html-keyboard-response","44","2.0.0","9884","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | _______ | __________ | ____</p>","exp_item","s0","sr","sp","",""
"item","582"," ","html-keyboard-response","45","2.0.0","9885","7co","23","female","true","true","true","<p class=""stimulus"">The zebra | ____ | _______ | __________ | ____</p>","exp_item","s1","sr","sp","",""
"item","703"," ","html-keyboard-response","46","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">_________ | that | _______ | __________ | ____</p>","exp_item","s2","sr","sp","",""
"item","986"," ","html-keyboard-response","47","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | follows | __________ | ____</p>","exp_item","s3","sr","sp","",""
"item","943"," ","html-keyboard-response","48","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | _______ | the horses | ____</p>","exp_item","s4","sr","sp","",""
"item","631"," ","html-keyboard-response","49","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | _______ | __________ | runs</p>","exp_item","s5","sr","sp","",""
"question","669","0","html-button-response","50","2.0.0","9886","7co","23","female","true","true","true","<h2>Does the zebra that follows the horses run?</h2>","","","sr","sp","true","true"
"fixation","null","null","html-keyboard-response","51","2.0.0","9886","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","624"," ","html-keyboard-response","52","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ________ | ___ | _____</p>","exp_item","s0","or","pp","",""
"item","727"," ","html-keyboard-response","53","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">The cats | ____ | ________ | ___ | _____</p>","exp_item","s1","or","pp","",""
"item","961"," ","html-keyboard-response","54","2.0.0","9886","7co","23","female","true","true","true","<p class=""stimulus"">________ | that | ________ | ___ | _____</p>","exp_item","s2","or","pp","",""
"item","851"," ","html-keyboard-response","55","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | the dogs | ___ | _____</p>","exp_item","s3","or","pp","",""
"item","478"," ","html-keyboard-response","56","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ________ | hug | _____</p>","exp_item","s4","or","pp","",""
"item","512"," ","html-keyboard-response","57","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ________ | ___ | smile</p>","exp_item","s5","or","pp","",""
"question","813","1","html-button-response","58","2.0.0","9887","7co","23","female","true","true","true","<h2>Do the cats that the dogs hug smile?</h2>","","","or","pp","true","false"
"fixation","null","null","html-keyboard-response","59","2.0.0","9887","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","695"," ","html-keyboard-response","60","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _________ | ______ | _____</p>","exp_item","s0","or","ps","",""
"item","770"," ","html-keyboard-response","61","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">The horses | ____ | _________ | ______ | _____</p>","exp_item","s1","or","ps","",""
"item","675"," ","html-keyboard-response","62","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">__________ | that | _________ | ______ | _____</p>","exp_item","s2","or","ps","",""
"item","493"," ","html-keyboard-response","63","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | the zebra | ______ | _____</p>","exp_item","s3","or","ps","",""
"item","530"," ","html-keyboard-response","64","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _________ | chases | ____ </p>","exp_item","s4","or","ps","",""
"item","524"," ","html-keyboard-response","65","2.0.0","9887","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _________ | ______ | fall </p>","exp_item","s5","or","ps","",""
"question","601","1","html-button-response","66","2.0.0","9888","7co","23","female","true","true","true","<h2>Do the horses tha the zebra chases fall?</h2>","","","or","ps","true","false"
"fixation","null","null","html-keyboard-response","67","2.0.0","9888","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","1080"," ","html-keyboard-response","68","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | ______ | __________ | _______</p>","fill_item","s0","sr","ss","",""
"item","571"," ","html-keyboard-response","69","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">The singer | ___ | ______ | __________ | _______</p>","fill_item","s1","sr","ss","",""
"item","923"," ","html-keyboard-response","70","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">__________ | who | ______ | __________ | _______</p>","fill_item","s2","sr","ss","",""
"item","981"," ","html-keyboard-response","71","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | throws |___________ | _______</p>","fill_item","s3","sr","ss","",""
"item","1149"," ","html-keyboard-response","72","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | ______ | the guitar | _______</p>","fill_item","s4","sr","ss","",""
"item","1042"," ","html-keyboard-response","73","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | ______ | __________ | screams</p>","fill_item","s5","sr","ss","",""
"question","823","1","html-button-response","74","2.0.0","9888","7co","23","female","true","true","true","<h2>Does the singer who throws the guitar scream?</h2>","","","sr","ss","true","false"
"fixation","null","null","html-keyboard-response","75","2.0.0","9888","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","512"," ","html-keyboard-response","76","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ____ | _______ | ___</p>","exp_item","s0","sr","ps","",""
"item","437"," ","html-keyboard-response","77","2.0.0","9888","7co","23","female","true","true","true","<p class=""stimulus"">The dogs | ____ | ____ | _______ | ___</p>","exp_item","s1","sr","ps","",""
"item","462"," ","html-keyboard-response","78","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">________ | that | ____ | _______ | ___</p>","exp_item","s2","sr","ps","",""
"item","536"," ","html-keyboard-response","79","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | push | _______ | ___</p>","exp_item","s3","sr","ps","",""
"item","919"," ","html-keyboard-response","80","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ____ | the cat | ___</p>","exp_item","s4","sr","ps","",""
"item","794"," ","html-keyboard-response","81","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">________ | ____ | ____ | _______ | cry</p>","exp_item","s5","sr","ps","",""
"question","457","1","html-button-response","82","2.0.0","9889","7co","23","female","true","true","true","<h2>Does the cat that pushes the dogs cry?</h2>","","","sr","ps","false","false"
"fixation","null","null","html-keyboard-response","83","2.0.0","9889","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","650"," ","html-keyboard-response","84","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | _______ | __________ | _____</p>","fill_item","s0","sr","ss","",""
"item","581"," ","html-keyboard-response","85","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">The singer | ___ | _______ | __________ | _____</p>","fill_item","s1","sr","ss","",""
"item","570"," ","html-keyboard-response","86","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">__________ | who | _______ | __________ | _____</p>","fill_item","s2","sr","ss","",""
"item","430"," ","html-keyboard-response","87","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | smashes |___________ | _____</p>","fill_item","s3","sr","ss","",""
"item","568"," ","html-keyboard-response","88","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | _______ | the guitar | _____</p>","fill_item","s4","sr","ss","",""
"item","596"," ","html-keyboard-response","89","2.0.0","9889","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ___ | _______ | __________ | cries</p>","fill_item","s5","sr","ss","",""
"question","821","0","html-button-response","90","2.0.0","9890","7co","23","female","true","true","true","<h2>Does the singer who smashes the guitar smile?</h2>","","","sr","ss","false","true"
"fixation","null","null","html-keyboard-response","91","2.0.0","9890","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","736"," ","html-keyboard-response","92","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | __________ | _____</p>","exp_item","s0","sr","pp","",""
"item","681"," ","html-keyboard-response","93","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">The horses | ____ | _____ | __________ | _____</p>","exp_item","s1","sr","pp","",""
"item","626"," ","html-keyboard-response","94","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">__________ | that | _____ | __________ | _____</p>","exp_item","s2","sr","pp","",""
"item","559"," ","html-keyboard-response","95","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | chase | __________ | _____</p>","exp_item","s3","sr","pp","",""
"item","500"," ","html-keyboard-response","96","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | the zebras | ____ </p>","exp_item","s4","sr","pp","",""
"item","600"," ","html-keyboard-response","97","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | __________ | fall </p>","exp_item","s5","sr","pp","",""
"question","491","1","html-button-response","98","2.0.0","9890","7co","23","female","true","true","true","<h2>Do the horses that chase the zebras fall?</h2>","","","sr","pp","true","false"
"fixation","null","null","html-keyboard-response","99","2.0.0","9890","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","668"," ","html-keyboard-response","100","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | ________ | _______ | ____</p>","exp_item","s0","or","ss","",""
"item","530"," ","html-keyboard-response","101","2.0.0","9890","7co","23","female","true","true","true","<p class=""stimulus"">The zebra | ____ | ________ | _______ | ____</p>","exp_item","s1","or","ss","",""
"item","655"," ","html-keyboard-response","102","2.0.0","9891","7co","23","female","true","true","true","<p class=""stimulus"">_________ | that | ________ | _______ | ____</p>","exp_item","s2","or","ss","",""
"item","557"," ","html-keyboard-response","103","2.0.0","9891","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | the horse| _______ | ____</p>","exp_item","s3","or","ss","",""
"item","1009"," ","html-keyboard-response","104","2.0.0","9891","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | ________ | follows | ____</p>","exp_item","s4","or","ss","",""
"item","497"," ","html-keyboard-response","105","2.0.0","9891","7co","23","female","true","true","true","<p class=""stimulus"">_________ | ____ | ________ | _______ | runs</p>","exp_item","s5","or","ss","",""
"question","813","1","html-button-response","106","2.0.0","9891","7co","23","female","true","true","true","<h2>Does the zebra that the horse follows run?</h2>","","","or","ss","true","false"
"fixation","null","null","html-keyboard-response","107","2.0.0","9891","7co","23","female","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","458"," ","html-keyboard-response","108","2.0.0","9891","7co","23","female","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | _________ | _____</p>","exp_item","s0","sr","ps","",""
"item","720"," ","html-keyboard-response","109","2.0.0","9891","7co","23","female","true","true","true","<p class=""stimulus"">The horses | ____ | _____ | _________ | _____</p>","exp_item","s1","sr","ps","",""
