"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","4","7yo","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","539"," ","html-keyboard-response","3","2.0.0","4","7yo","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","705"," ","html-keyboard-response","4","2.0.0","4","7yo","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","675"," ","html-keyboard-response","5","2.0.0","5","7yo","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","613"," ","html-keyboard-response","6","2.0.0","5","7yo","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","569"," ","html-keyboard-response","7","2.0.0","5","7yo","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","559"," ","html-keyboard-response","8","2.0.0","5","7yo","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","573","1","html-button-response","9","2.0.0","5","7yo","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","5","7yo","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","591"," ","html-keyboard-response","11","2.0.0","5","7yo","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","830"," ","html-keyboard-response","12","2.0.0","5","7yo","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","470"," ","html-keyboard-response","13","2.0.0","5","7yo","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","749"," ","html-keyboard-response","14","2.0.0","5","7yo","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","508"," ","html-keyboard-response","15","2.0.0","5","7yo","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","454"," ","html-keyboard-response","16","2.0.0","5","7yo","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","510","1","html-button-response","17","2.0.0","5","7yo","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","8","7yo","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | ________ | _____</p>","537"," ","html-keyboard-response","20","2.0.0","8","7yo","exp_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The dog | ____ | ______ | ________ | _____</p>","469"," ","html-keyboard-response","21","2.0.0","8","7yo","exp_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | ______ | ________ | _____</p>","386"," ","html-keyboard-response","22","2.0.0","8","7yo","exp_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | pushes | ________ | _____</p>","656"," ","html-keyboard-response","23","2.0.0","8","7yo","exp_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | the cats | _____</p>","608"," ","html-keyboard-response","24","2.0.0","8","7yo","exp_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | ________ | cries</p>","590"," ","html-keyboard-response","25","2.0.0","8","7yo","exp_item","s5","sr","sp","",""
"question","<h2>Do the cats that push the dog cry?</h2>","622","0","html-button-response","26","2.0.0","8","7yo","exp_item","","sr","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","8","7yo","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | ________ | ____ | _____</p>","583"," ","html-keyboard-response","28","2.0.0","8","7yo","exp_item","s0","or","sp","",""
"item","<p class=""stimulus"">The dog | ____ | ________ | ____ | _____</p>","743"," ","html-keyboard-response","29","2.0.0","8","7yo","exp_item","s1","or","sp","",""
"item","<p class=""stimulus"">_______ | that | ________ | ____ | _____</p>","511"," ","html-keyboard-response","30","2.0.0","8","7yo","exp_item","s2","or","sp","",""
"item","<p class=""stimulus"">_______ | ____ | the cats | ____ | _____</p>","1384"," ","html-keyboard-response","31","2.0.0","8","7yo","exp_item","s3","or","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ________ | push | _____</p>","538"," ","html-keyboard-response","32","2.0.0","8","7yo","exp_item","s4","or","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ________ | ____ | cries</p>","528"," ","html-keyboard-response","33","2.0.0","8","7yo","exp_item","s5","or","sp","",""
"question","<h2>Do the cats that the dog pushes cry?</h2>","511","0","html-button-response","34","2.0.0","8","7yo","exp_item","","or","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","9","7yo","","","","","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | __________ | _____</p>","532"," ","html-keyboard-response","36","2.0.0","9","7yo","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The singer | ___ | _____ | __________ | _____</p>","933"," ","html-keyboard-response","37","2.0.0","9","7yo","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">__________ | who | _____ | __________ | _____</p>","551"," ","html-keyboard-response","38","2.0.0","9","7yo","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | plays |___________ | _____</p>","657"," ","html-keyboard-response","39","2.0.0","9","7yo","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | the guitar | _____</p>","496"," ","html-keyboard-response","40","2.0.0","9","7yo","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | __________ | sings</p>","536"," ","html-keyboard-response","41","2.0.0","9","7yo","fill_item","s5","sr","ss","",""
"question","<h2>Does the singer who plays the guitar cry?</h2>","876","1","html-button-response","42","2.0.0","9","7yo","fill_item","","sr","ss","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","43","2.0.0","9","7yo","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ____ | _______ | ___</p>","806"," ","html-keyboard-response","44","2.0.0","9","7yo","exp_item","s0","sr","ps","",""
"item","<p class=""stimulus"">The dogs | ____ | ____ | _______ | ___</p>","482"," ","html-keyboard-response","45","2.0.0","9","7yo","exp_item","s1","sr","ps","",""
"item","<p class=""stimulus"">________ | that | ____ | _______ | ___</p>","564"," ","html-keyboard-response","46","2.0.0","9","7yo","exp_item","s2","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | push | _______ | ___</p>","757"," ","html-keyboard-response","47","2.0.0","9","7yo","exp_item","s3","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ____ | the cat | ___</p>","520"," ","html-keyboard-response","48","2.0.0","9","7yo","exp_item","s4","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ____ | _______ | cry</p>","529"," ","html-keyboard-response","49","2.0.0","9","7yo","exp_item","s5","sr","ps","",""
"question","<h2>Does the cat that pushes the dogs cry?</h2>","752","0","html-button-response","50","2.0.0","9","7yo","exp_item","","sr","ps","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","51","2.0.0","9","7yo","","","","","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | _______</p>","578"," ","html-keyboard-response","52","2.0.0","9","7yo","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The woman | ___ | ______ | __________ | _______</p>","937"," ","html-keyboard-response","53","2.0.0","9","7yo","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | who | ______ | __________ | _______</p>","495"," ","html-keyboard-response","54","2.0.0","9","7yo","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | stores |___________ | _______</p>","1012"," ","html-keyboard-response","55","2.0.0","9","7yo","fill_item","s3","sr","ss","",""
