"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","8vw","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","601"," ","html-keyboard-response","3","2.0.0","1","8vw","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","575"," ","html-keyboard-response","4","2.0.0","1","8vw","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","576"," ","html-keyboard-response","5","2.0.0","1","8vw","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","590"," ","html-keyboard-response","6","2.0.0","1","8vw","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","642"," ","html-keyboard-response","7","2.0.0","1","8vw","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","975"," ","html-keyboard-response","8","2.0.0","1","8vw","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","549","0","html-button-response","9","2.0.0","2","8vw","pr_item","","sr","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","8vw","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","524"," ","html-keyboard-response","11","2.0.0","2","8vw","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","588"," ","html-keyboard-response","12","2.0.0","2","8vw","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","582"," ","html-keyboard-response","13","2.0.0","2","8vw","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","441"," ","html-keyboard-response","14","2.0.0","2","8vw","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","626"," ","html-keyboard-response","15","2.0.0","2","8vw","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","769"," ","html-keyboard-response","16","2.0.0","2","8vw","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","478","1","html-button-response","17","2.0.0","2","8vw","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","2","8vw","","","","","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | ______</p>","1183"," ","html-keyboard-response","20","2.0.0","3","8vw","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The chef | ___ | _____ | _______ | ______</p>","627"," ","html-keyboard-response","21","2.0.0","3","8vw","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">________ | who | _____ | _______ | ______</p>","452"," ","html-keyboard-response","22","2.0.0","3","8vw","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | opens |________ | ______</p>","997"," ","html-keyboard-response","23","2.0.0","3","8vw","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | the box | ______</p>","535"," ","html-keyboard-response","24","2.0.0","3","8vw","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | smiles</p>","1105"," ","html-keyboard-response","25","2.0.0","3","8vw","fill_item","s5","sr","ss","",""
"question","<h2>Does the chef who opens the box smile?</h2>","482","1","html-button-response","26","2.0.0","3","8vw","fill_item","","sr","ss","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","3","8vw","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | ____</p>","506"," ","html-keyboard-response","28","2.0.0","3","8vw","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The horses | ____ | _____ | __________ | ____</p>","718"," ","html-keyboard-response","29","2.0.0","3","8vw","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">__________ | that | _____ | __________ | ____</p>","1080"," ","html-keyboard-response","30","2.0.0","3","8vw","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | chase | __________ | ____</p>","613"," ","html-keyboard-response","31","2.0.0","3","8vw","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | the zebras | ____</p>","528"," ","html-keyboard-response","32","2.0.0","3","8vw","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | fall</p>","560"," ","html-keyboard-response","33","2.0.0","3","8vw","exp_item","s5","sr","pp","",""
"question","<h2>Do the horses that chase the zebras fall?</h2>","953","0","html-button-response","34","2.0.0","3","8vw","exp_item","","sr","pp","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","3","8vw","","","","","",""
"item","<p class=""stimulus"">________ | ____ | _______ | ____ | _____</p>","458"," ","html-keyboard-response","36","2.0.0","3","8vw","exp_item","s0","or","ps","",""
"item","<p class=""stimulus"">The cats | ____ | _______ | ____ | _____</p>","429"," ","html-keyboard-response","37","2.0.0","3","8vw","exp_item","s1","or","ps","",""
