"task","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","age","gender","lang_ca","lang_sp","lang_en","stimulus","item_type","segment","clause_type","number","correct_answer","answer"
"survey","7511","{""age"":""24"",""gender"":""other"",""lang_ca"":""true"",""lang_sp"":""true"",""lang_en"":""true""}","survey-html-form","1","2.0.0","7513","ayb","24","other","true","true","true","","","","","","",""
"fixation","null","null","html-keyboard-response","3","2.0.0","7514","ayb","24","other","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","469"," ","html-keyboard-response","4","2.0.0","7514","ayb","24","other","true","true","true","<p class=""stimulus"">_________ | ____ | ______ | _________ | _____</p>","exp_item","s0","sr","ss","",""
"item","630"," ","html-keyboard-response","5","2.0.0","7514","ayb","24","other","true","true","true","<p class=""stimulus"">The horse | ____ | ______ | _________ | _____</p>","exp_item","s1","sr","ss","",""
"item","582"," ","html-keyboard-response","6","2.0.0","7515","ayb","24","other","true","true","true","<p class=""stimulus"">_________ | that | ______ | _________ | _____</p>","exp_item","s2","sr","ss","",""
"item","560"," ","html-keyboard-response","7","2.0.0","7515","ayb","24","other","true","true","true","<p class=""stimulus"">_________ | ____ | chases | _________ | _____</p>","exp_item","s3","sr","ss","",""
"item","459"," ","html-keyboard-response","8","2.0.0","7515","ayb","24","other","true","true","true","<p class=""stimulus"">_________ | ____ | ______ | the zebra | _____</p>","exp_item","s4","sr","ss","",""
"item","876"," ","html-keyboard-response","9","2.0.0","7515","ayb","24","other","true","true","true","<p class=""stimulus"">_________ | ____ | ______ | _________ | falls</p>","exp_item","s5","sr","ss","",""
"question","692","1","html-button-response","10","2.0.0","7515","ayb","24","other","true","true","true","<h2>Does the horse that chases the zebra fall?</h2>","","","sr","ss","true","false"
"fixation","null","null","html-keyboard-response","11","2.0.0","7515","ayb","24","other","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","565"," ","html-keyboard-response","12","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | _________ | _____</p>","exp_item","s0","sr","ps","",""
"item","477"," ","html-keyboard-response","13","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">The horses | ____ | _____ | _________ | _____</p>","exp_item","s1","sr","ps","",""
"item","582"," ","html-keyboard-response","14","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">__________ | that | _____ | _________ | _____</p>","exp_item","s2","sr","ps","",""
"item","643"," ","html-keyboard-response","15","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">__________ | ____ | chase | _________ | _____</p>","exp_item","s3","sr","ps","",""
"item","467"," ","html-keyboard-response","16","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | the zebra | ____ </p>","exp_item","s4","sr","ps","",""
"item","527"," ","html-keyboard-response","17","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | _________ | fall </p>","exp_item","s5","sr","ps","",""
"question","645","0","html-button-response","18","2.0.0","7516","ayb","24","other","true","true","true","<h2>Do the horses that chase the zebra fall?</h2>","","","sr","ps","true","true"
"fixation","null","null","html-keyboard-response","19","2.0.0","7516","ayb","24","other","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","684"," ","html-keyboard-response","20","2.0.0","7516","ayb","24","other","true","true","true","<p class=""stimulus"">_________ | ___ | _____ | __________ | ______</p>","fill_item","s0","sr","ss","",""
