"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","bzm","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","1083"," ","html-keyboard-response","3","2.0.0","1","bzm","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","749"," ","html-keyboard-response","4","2.0.0","1","bzm","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","575"," ","html-keyboard-response","5","2.0.0","1","bzm","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","512"," ","html-keyboard-response","6","2.0.0","1","bzm","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","520"," ","html-keyboard-response","7","2.0.0","1","bzm","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","449"," ","html-keyboard-response","8","2.0.0","1","bzm","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","803","0","html-button-response","9","2.0.0","1","bzm","pr_item","","sr","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","1","bzm","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","433"," ","html-keyboard-response","11","2.0.0","1","bzm","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","548"," ","html-keyboard-response","12","2.0.0","1","bzm","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","438"," ","html-keyboard-response","13","2.0.0","1","bzm","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","986"," ","html-keyboard-response","14","2.0.0","2","bzm","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","727"," ","html-keyboard-response","15","2.0.0","2","bzm","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","512"," ","html-keyboard-response","16","2.0.0","2","bzm","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","1081","1","html-button-response","17","2.0.0","2","bzm","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","2","bzm","","","","","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | _____</p>","528"," ","html-keyboard-response","20","2.0.0","2","bzm","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The chef | ___ | _____ | _______ | _____</p>","767"," ","html-keyboard-response","21","2.0.0","2","bzm","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">________ | who | _____ | _______ | _____</p>","556"," ","html-keyboard-response","22","2.0.0","2","bzm","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | kicks |________ | _____</p>","601"," ","html-keyboard-response","23","2.0.0","2","bzm","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | the box | _____</p>","559"," ","html-keyboard-response","24","2.0.0","2","bzm","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | cries</p>","719"," ","html-keyboard-response","25","2.0.0","2","bzm","fill_item","s5","sr","ss","",""
"question","<h2>Does the chef who kicks the box cry?</h2>","515","0","html-button-response","26","2.0.0","2","bzm","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","2","bzm","","","","","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | __________ | _____</p>","503"," ","html-keyboard-response","28","2.0.0","2","bzm","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The singer | ___ | _____ | __________ | _____</p>","700"," ","html-keyboard-response","29","2.0.0","3","bzm","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">__________ | who | _____ | __________ | _____</p>","608"," ","html-keyboard-response","30","2.0.0","3","bzm","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | grabs |___________ | _____</p>","778"," ","html-keyboard-response","31","2.0.0","3","bzm","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | the guitar | _____</p>","642"," ","html-keyboard-response","32","2.0.0","3","bzm","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | __________ | cries</p>","672"," ","html-keyboard-response","33","2.0.0","3","bzm","fill_item","s5","sr","ss","",""
"question","<h2>Does the singer who grabs the guitar cry?</h2>","815","1","html-button-response","34","2.0.0","3","bzm","fill_item","","sr","ss","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","3","bzm","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ____ | ______</p>","688"," ","html-keyboard-response","36","2.0.0","3","bzm","exp_item","s0","or","ss","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ____ | ______</p>","769"," ","html-keyboard-response","37","2.0.0","3","bzm","exp_item","s1","or","ss","",""
"item","<p class=""stimulus"">_______ | that | _______ | ____ | ______</p>","703"," ","html-keyboard-response","38","2.0.0","3","bzm","exp_item","s2","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | the dog | ____ | ______</p>","746"," ","html-keyboard-response","39","2.0.0","3","bzm","exp_item","s3","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | hugs | ______</p>","559"," ","html-keyboard-response","40","2.0.0","3","bzm","exp_item","s4","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ____ | smiles</p>","664"," ","html-keyboard-response","41","2.0.0","3","bzm","exp_item","s5","or","ss","",""
"question","<h2>Does the cat that the dog hugs smile?","492","0","html-button-response","42","2.0.0","3","bzm","exp_item","","or","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","43","2.0.0","3","bzm","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | ____ | ___</p>","620"," ","html-keyboard-response","44","2.0.0","3","bzm","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The dogs | ____ | ________ | ____ | ___</p>","796"," ","html-keyboard-response","45","2.0.0","3","bzm","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | ____ | ___</p>","499"," ","html-keyboard-response","46","2.0.0","3","bzm","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the cats | ____ | ___</p>","601"," ","html-keyboard-response","47","2.0.0","3","bzm","exp_item","s3","or","pp","",""
