"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","cdj","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","482"," ","html-keyboard-response","3","2.0.0","1","cdj","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","538"," ","html-keyboard-response","4","2.0.0","1","cdj","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","974"," ","html-keyboard-response","5","2.0.0","1","cdj","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","747"," ","html-keyboard-response","6","2.0.0","2","cdj","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","526"," ","html-keyboard-response","7","2.0.0","2","cdj","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","509"," ","html-keyboard-response","8","2.0.0","2","cdj","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","596","1","html-button-response","9","2.0.0","2","cdj","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","cdj","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","596"," ","html-keyboard-response","11","2.0.0","2","cdj","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","757"," ","html-keyboard-response","12","2.0.0","2","cdj","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","627"," ","html-keyboard-response","13","2.0.0","2","cdj","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","566"," ","html-keyboard-response","14","2.0.0","2","cdj","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","616"," ","html-keyboard-response","15","2.0.0","2","cdj","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","1569"," ","html-keyboard-response","16","2.0.0","2","cdj","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","589","1","html-button-response","17","2.0.0","2","cdj","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","3","cdj","","","","","",""
"item","<p class=""stimulus"">__________ | ___ | ______ | __________ | _______</p>","665"," ","html-keyboard-response","20","2.0.0","3","cdj","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The singer | ___ | ______ | __________ | _______</p>","632"," ","html-keyboard-response","21","2.0.0","3","cdj","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">__________ | who | ______ | __________ | _______</p>","649"," ","html-keyboard-response","22","2.0.0","3","cdj","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | stores |___________ | _______</p>","683"," ","html-keyboard-response","23","2.0.0","3","cdj","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | ______ | the guitar | _______</p>","690"," ","html-keyboard-response","24","2.0.0","3","cdj","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | ______ | __________ | murmurs</p>","768"," ","html-keyboard-response","25","2.0.0","3","cdj","fill_item","s5","sr","ss","",""
"question","<h2>Does the singer who stores the guitar cry?</h2>","729","1","html-button-response","26","2.0.0","3","cdj","fill_item","","sr","ss","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","3","cdj","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | __________ | ___</p>","530"," ","html-keyboard-response","28","2.0.0","3","cdj","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The zebras | ____ | ______ | __________ | ___</p>","495"," ","html-keyboard-response","29","2.0.0","3","cdj","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">__________ | that | ______ | __________ | ___</p>","801"," ","html-keyboard-response","30","2.0.0","3","cdj","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | follow | __________ | ___</p>","625"," ","html-keyboard-response","31","2.0.0","3","cdj","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | the horses | ___</p>","601"," ","html-keyboard-response","32","2.0.0","3","cdj","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | __________ | run</p>","660"," ","html-keyboard-response","33","2.0.0","4","cdj","exp_item","s5","sr","pp","",""
"question","<h2>Do the zebras that follow the horses run?</h2>","677","0","html-button-response","34","2.0.0","4","cdj","exp_item","","sr","pp","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","4","cdj","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ______ | _____</p>","658"," ","html-keyboard-response","36","2.0.0","4","cdj","exp_item","s0","or","ss","",""
"item","<p class=""stimulus"">The dog | ____ | _______ | ______ | _____</p>","597"," ","html-keyboard-response","37","2.0.0","4","cdj","exp_item","s1","or","ss","",""
"item","<p class=""stimulus"">_______ | that | _______ | ______ | _____</p>","623"," ","html-keyboard-response","38","2.0.0","4","cdj","exp_item","s2","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | the cat | ______ | _____</p>","826"," ","html-keyboard-response","39","2.0.0","4","cdj","exp_item","s3","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | pushes | _____</p>","633"," ","html-keyboard-response","40","2.0.0","4","cdj","exp_item","s4","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ______ | cries</p>","560"," ","html-keyboard-response","41","2.0.0","4","cdj","exp_item","s5","or","ss","",""
"question","<h2>Does the cat that the dog pushes cry?</h2>","609","0","html-button-response","42","2.0.0","4","cdj","exp_item","","or","ss","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","43","2.0.0","4","cdj","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ____ | ________ | ___</p>","697"," ","html-keyboard-response","44","2.0.0","4","cdj","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The dogs | ____ | ____ | ________ | ___</p>","596"," ","html-keyboard-response","45","2.0.0","4","cdj","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">________ | that | ____ | ________ | ___</p>","696"," ","html-keyboard-response","46","2.0.0","4","cdj","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">________ | ____ | push | ________ | ___</p>","579"," ","html-keyboard-response","47","2.0.0","4","cdj","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">________ | ____ | ____ | the cats | ___</p>","508"," ","html-keyboard-response","48","2.0.0","4","cdj","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">________ | ____ | ____ | ________ | cry</p>","680"," ","html-keyboard-response","49","2.0.0","4","cdj","exp_item","s5","sr","pp","",""
"question","<h2>Do the cats that push the dogs cry?</h2>","653","0","html-button-response","50","2.0.0","4","cdj","exp_item","","sr","pp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","51","2.0.0","4","cdj","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ____ | _______ | ___</p>","632"," ","html-keyboard-response","52","2.0.0","4","cdj","exp_item","s0","sr","ps","",""
"item","<p class=""stimulus"">The dogs | ____ | ____ | _______ | ___</p>","619"," ","html-keyboard-response","53","2.0.0","4","cdj","exp_item","s1","sr","ps","",""
"item","<p class=""stimulus"">________ | that | ____ | _______ | ___</p>","622"," ","html-keyboard-response","54","2.0.0","4","cdj","exp_item","s2","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | push | _______ | ___</p>","563"," ","html-keyboard-response","55","2.0.0","4","cdj","exp_item","s3","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ____ | the cat | ___</p>","789"," ","html-keyboard-response","56","2.0.0","4","cdj","exp_item","s4","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ____ | _______ | cry</p>","1036"," ","html-keyboard-response","57","2.0.0","5","cdj","exp_item","s5","sr","ps","",""
