"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","cz0","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","917"," ","html-keyboard-response","3","2.0.0","1","cz0","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","581"," ","html-keyboard-response","4","2.0.0","1","cz0","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","643"," ","html-keyboard-response","5","2.0.0","1","cz0","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","505"," ","html-keyboard-response","6","2.0.0","2","cz0","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","591"," ","html-keyboard-response","7","2.0.0","2","cz0","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","584"," ","html-keyboard-response","8","2.0.0","2","cz0","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","898","1","html-button-response","9","2.0.0","2","cz0","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","cz0","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","559"," ","html-keyboard-response","11","2.0.0","2","cz0","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","689"," ","html-keyboard-response","12","2.0.0","2","cz0","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","563"," ","html-keyboard-response","13","2.0.0","2","cz0","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","684"," ","html-keyboard-response","14","2.0.0","2","cz0","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","502"," ","html-keyboard-response","15","2.0.0","2","cz0","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","635"," ","html-keyboard-response","16","2.0.0","2","cz0","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","527","0","html-button-response","17","2.0.0","2","cz0","exp_item","","or","pp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","3","cz0","","","","","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | ______</p>","521"," ","html-keyboard-response","20","2.0.0","3","cz0","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The woman | ___ | ______ | __________ | ______</p>","632"," ","html-keyboard-response","21","2.0.0","3","cz0","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | who | ______ | __________ | ______</p>","1085"," ","html-keyboard-response","22","2.0.0","3","cz0","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | throws |___________ | ______</p>","658"," ","html-keyboard-response","23","2.0.0","3","cz0","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | the letter | ______</p>","581"," ","html-keyboard-response","24","2.0.0","3","cz0","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | screams</p>","700"," ","html-keyboard-response","25","2.0.0","3","cz0","fill_item","s5","sr","ss","",""
"question","<h2>Does the woman who throws the letter smile?</h2>","493","1","html-button-response","26","2.0.0","3","cz0","fill_item","","sr","ss","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","3","cz0","","","","","",""
"item","<p class=""stimulus"">________ | ____ | _______ | ____ | _____</p>","543"," ","html-keyboard-response","28","2.0.0","3","cz0","exp_item","s0","or","ps","",""
"item","<p class=""stimulus"">The cats | ____ | _______ | ____ | _____</p>","571"," ","html-keyboard-response","29","2.0.0","3","cz0","exp_item","s1","or","ps","",""
"item","<p class=""stimulus"">________ | that | _______ | ____ | _____</p>","1006"," ","html-keyboard-response","30","2.0.0","4","cz0","exp_item","s2","or","ps","",""
"item","<p class=""stimulus"">________ | ____ | the dog | ____ | _____</p>","558"," ","html-keyboard-response","31","2.0.0","4","cz0","exp_item","s3","or","ps","",""
"item","<p class=""stimulus"">________ | ____ | _______ | hugs | _____</p>","654"," ","html-keyboard-response","32","2.0.0","4","cz0","exp_item","s4","or","ps","",""
"item","<p class=""stimulus"">________ | ____ | _______ | ____ | smile</p>","563"," ","html-keyboard-response","33","2.0.0","4","cz0","exp_item","s5","or","ps","",""
"question","<h2>Do the cats that the dog hugs smile?</h2>","772","0","html-button-response","34","2.0.0","4","cz0","exp_item","","or","ps","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","4","cz0","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | ____</p>","587"," ","html-keyboard-response","36","2.0.0","4","cz0","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The horses | ____ | _____ | __________ | ____</p>","575"," ","html-keyboard-response","37","2.0.0","4","cz0","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">__________ | that | _____ | __________ | ____</p>","449"," ","html-keyboard-response","38","2.0.0","4","cz0","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | chase | __________ | ____</p>","472"," ","html-keyboard-response","39","2.0.0","4","cz0","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | the zebras | ____</p>","666"," ","html-keyboard-response","40","2.0.0","4","cz0","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | fall</p>","565"," ","html-keyboard-response","41","2.0.0","4","cz0","exp_item","s5","sr","pp","",""
"question","<h2>Do the horses that chase the zebras fall?</h2>","485","0","html-button-response","42","2.0.0","4","cz0","exp_item","","sr","pp","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","43","2.0.0","4","cz0","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | ________ | ____ | _____</p>","842"," ","html-keyboard-response","44","2.0.0","4","cz0","exp_item","s0","or","sp","",""
"item","<p class=""stimulus"">The dog | ____ | ________ | ____ | _____</p>","582"," ","html-keyboard-response","45","2.0.0","4","cz0","exp_item","s1","or","sp","",""
"item","<p class=""stimulus"">_______ | that | ________ | ____ | _____</p>","552"," ","html-keyboard-response","46","2.0.0","4","cz0","exp_item","s2","or","sp","",""
"item","<p class=""stimulus"">_______ | ____ | the cats | ____ | _____</p>","661"," ","html-keyboard-response","47","2.0.0","4","cz0","exp_item","s3","or","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ________ | push | _____</p>","610"," ","html-keyboard-response","48","2.0.0","4","cz0","exp_item","s4","or","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ________ | ____ | cries</p>","599"," ","html-keyboard-response","49","2.0.0","4","cz0","exp_item","s5","or","sp","",""
"question","<h2>Do the cats that the dog pushes cry?</h2>","793","1","html-button-response","50","2.0.0","4","cz0","exp_item","","or","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","51","2.0.0","4","cz0","","","","","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | _______</p>","515"," ","html-keyboard-response","52","2.0.0","4","cz0","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The woman | ___ | ______ | __________ | _______</p>","582"," ","html-keyboard-response","53","2.0.0","5","cz0","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | who | ______ | __________ | _______</p>","596"," ","html-keyboard-response","54","2.0.0","5","cz0","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | stores |___________ | _______</p>","571"," ","html-keyboard-response","55","2.0.0","5","cz0","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | the letter | _______</p>","507"," ","html-keyboard-response","56","2.0.0","5","cz0","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | murmurs</p>","510"," ","html-keyboard-response","57","2.0.0","5","cz0","fill_item","s5","sr","ss","",""
"question","<h2>Does the woman who stores the letter murmur?</h2>","803","0","html-button-response","58","2.0.0","5","cz0","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","59","2.0.0","5","cz0","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | ________ | _______ | ____</p>","522"," ","html-keyboard-response","60","2.0.0","5","cz0","exp_item","s0","or","ss","",""
"item","<p class=""stimulus"">The zebra | ____ | ________ | _______ | ____</p>","581"," ","html-keyboard-response","61","2.0.0","5","cz0","exp_item","s1","or","ss","",""
"item","<p class=""stimulus"">_________ | that | ________ | _______ | ____</p>","695"," ","html-keyboard-response","62","2.0.0","5","cz0","exp_item","s2","or","ss","",""
"item","<p class=""stimulus"">_________ | ____ | the horse| _______ | ____</p>","676"," ","html-keyboard-response","63","2.0.0","5","cz0","exp_item","s3","or","ss","",""
"item","<p class=""stimulus"">_________ | ____ | ________ | follows | ____</p>","1186"," ","html-keyboard-response","64","2.0.0","5","cz0","exp_item","s4","or","ss","",""
"item","<p class=""stimulus"">_________ | ____ | ________ | _______ | runs</p>","588"," ","html-keyboard-response","65","2.0.0","5","cz0","exp_item","s5","or","ss","",""
"question","<h2>Does the zebra that the horse follows run?</h2>","505","0","html-button-response","66","2.0.0","5","cz0","exp_item","","or","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","67","2.0.0","5","cz0","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | _________ | ___</p>","508"," ","html-keyboard-response","68","2.0.0","5","cz0","exp_item","s0","sr","ps","",""
"item","<p class=""stimulus"">The zebras | ____ | ______ | _________ | ___</p>","706"," ","html-keyboard-response","69","2.0.0","5","cz0","exp_item","s1","sr","ps","",""
"item","<p class=""stimulus"">__________ | that | ______ | _________ | ___</p>","779"," ","html-keyboard-response","70","2.0.0","5","cz0","exp_item","s2","sr","ps","",""
"item","<p class=""stimulus"">__________ | ____ | follow | _________ | ___</p>","661"," ","html-keyboard-response","71","2.0.0","5","cz0","exp_item","s3","sr","ps","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | the horse | ___</p>","850"," ","html-keyboard-response","72","2.0.0","5","cz0","exp_item","s4","sr","ps","",""
"item","<p class=""stimulus"">__________ | ____ | ______ | _________ | run</p>","558"," ","html-keyboard-response","73","2.0.0","5","cz0","exp_item","s5","sr","ps","",""
"question","<h2>Do the zebras that follow the horse run?</h2>","1134","1","html-button-response","74","2.0.0","5","cz0","exp_item","","sr","ps","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","75","2.0.0","5","cz0","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ____ | ______</p>","557"," ","html-keyboard-response","76","2.0.0","5","cz0","exp_item","s0","or","ss","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ____ | ______</p>","553"," ","html-keyboard-response","77","2.0.0","6","cz0","exp_item","s1","or","ss","",""
"item","<p class=""stimulus"">_______ | that | _______ | ____ | ______</p>","544"," ","html-keyboard-response","78","2.0.0","6","cz0","exp_item","s2","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | the dog | ____ | ______</p>","933"," ","html-keyboard-response","79","2.0.0","6","cz0","exp_item","s3","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | hugs | ______</p>","616"," ","html-keyboard-response","80","2.0.0","6","cz0","exp_item","s4","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ____ | smiles</p>","824"," ","html-keyboard-response","81","2.0.0","6","cz0","exp_item","s5","or","ss","",""
"question","<h2>Does the cat that the dog hugs smile?","824","1","html-button-response","82","2.0.0","6","cz0","exp_item","","or","ss","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","83","2.0.0","6","cz0","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | _________ | _______ | ___</p>","613"," ","html-keyboard-response","84","2.0.0","6","cz0","exp_item","s0","or","ps","",""
"item","<p class=""stimulus"">The zebras | ____ | _________ | _______ | ___</p>","546"," ","html-keyboard-response","85","2.0.0","6","cz0","exp_item","s1","or","ps","",""
"item","<p class=""stimulus"">__________ | that | _________ | _______ | ___</p>","585"," ","html-keyboard-response","86","2.0.0","6","cz0","exp_item","s2","or","ps","",""
"item","<p class=""stimulus"">__________ | ____ | the horse | _______ | ___</p>","828"," ","html-keyboard-response","87","2.0.0","6","cz0","exp_item","s3","or","ps","",""
