Recording	Participant	TOI	Interval	clause_type	number	AOI	Stimulus	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Duration_of_first_fixation	Number_of_saccades_in_AOI
Recording1	Test Participant 1	Stimulus	2	or	ss	Rectangle	s1	52	52	1	52	0
Recording1	Test Participant 1	Stimulus	2	or	ss	Rectangle 1	s1	52	52	1	52	0
Recording1	Test Participant 1	Stimulus	2	or	ss	Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	2	or	ss	Rectangle 3	s3	203	203	1	203	0
Recording1	Test Participant 1	Stimulus	2	or	ss	Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	2	or	ss	Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle	s1	86	86	1	86	0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle	s1	45	45	1	45	0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 1	s1	45	45	1	45	0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 3	s3	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	3	or	ss	Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 1	s2	30	30	1	30	0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 1	s2	36	36	1	36	0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 3	s4	89	89	1	89	0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	4	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 3	s4	11	11	1	11	0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	5	or	ss	Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	6	or	ss	Rectangle 1	s2	0		0		0
