Recording	Participant	TOI	Interval	clause_type	number	AOI	stimulus	Total_duration_of_fixations	Average_duration_of_fixations	Number_of_fixations	Duration_of_first_fixation	Number_of_saccades_in_AOI
Recording1	Test Participant 1	Stimulus	2	practice		Rectangle	s1	333	333	1	333	0
Recording1	Test Participant 1	Stimulus	2	practice		Rectangle 1	s1	333	333	1	333	0
Recording1	Test Participant 1	Stimulus	2	practice		Rectangle 2	s2	0		0		0
Recording1	Test Participant 1	Stimulus	2	practice		Rectangle 3	s3	175	175	1	175	0
Recording1	Test Participant 1	Stimulus	2	practice		Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	2	practice		Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle	s1	0	0	1	0	0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 1	s2	502	502	1	502	0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 1	s1	0	0	1	0	0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 2	s2	25	25	1	25	0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 3	s4	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 3	s3	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 4	s5	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 4	s4	0		0		0
Recording1	Test Participant 1	Stimulus	3	practice		Rectangle 5	s5	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle	s1	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 1	s2	23	23	1	23	0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 1	s2	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 2	s3	0		0		0
Recording1	Test Participant 1	Stimulus	4	practice		Rectangle 2	s3	0		0		0
