"task","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","age","gender","lang_ca","lang_sp","lang_en","stimulus","item_type","segment","clause_type","number","correct_answer","answer"
"survey","7105","{""age"":""26"",""gender"":""male"",""lang_ca"":""true"",""lang_sp"":""true"",""lang_en"":""true""}","survey-html-form","1","2.0.0","7107","ggn","26","male","true","true","true","","","","","","",""
"fixation","null","null","html-keyboard-response","3","2.0.0","7109","ggn","26","male","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","634"," ","html-keyboard-response","4","2.0.0","7109","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | ______ | __________ | ___</p>","exp_item","s0","sr","pp","",""
"item","494"," ","html-keyboard-response","5","2.0.0","7109","ggn","26","male","true","true","true","<p class=""stimulus"">The zebras | ____ | ______ | __________ | ___</p>","exp_item","s1","sr","pp","",""
"item","468"," ","html-keyboard-response","6","2.0.0","7109","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | that | ______ | __________ | ___</p>","exp_item","s2","sr","pp","",""
"item","589"," ","html-keyboard-response","7","2.0.0","7109","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | follow | __________ | ___</p>","exp_item","s3","sr","pp","",""
"item","446"," ","html-keyboard-response","8","2.0.0","7110","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | ______ | the horses | ___</p>","exp_item","s4","sr","pp","",""
"item","720"," ","html-keyboard-response","9","2.0.0","7110","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | ______ | __________ | run</p>","exp_item","s5","sr","pp","",""
"question","511","1","html-button-response","10","2.0.0","7110","ggn","26","male","true","true","true","<h2>Do the zebras that follow the horses run?</h2>","","","sr","pp","true","false"
"fixation","null","null","html-keyboard-response","11","2.0.0","7110","ggn","26","male","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","644"," ","html-keyboard-response","12","2.0.0","7111","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | _________ | _______ | ___</p>","exp_item","s0","or","ps","",""
"item","626"," ","html-keyboard-response","13","2.0.0","7111","ggn","26","male","true","true","true","<p class=""stimulus"">The zebras | ____ | _________ | _______ | ___</p>","exp_item","s1","or","ps","",""
"item","802"," ","html-keyboard-response","14","2.0.0","7111","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | that | _________ | _______ | ___</p>","exp_item","s2","or","ps","",""
"item","695"," ","html-keyboard-response","15","2.0.0","7111","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | the horse | _______ | ___</p>","exp_item","s3","or","ps","",""
"item","623"," ","html-keyboard-response","16","2.0.0","7111","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | _________ | follows | ___</p>","exp_item","s4","or","ps","",""
"item","504"," ","html-keyboard-response","17","2.0.0","7111","ggn","26","male","true","true","true","<p class=""stimulus"">__________ | ____ | _________ | _______ | run</p>","exp_item","s5","or","ps","",""
"question","825","1","html-button-response","18","2.0.0","7111","ggn","26","male","true","true","true","<h2>Do the zebras that the horse follows run?</h2>","","","or","ps","true","false"
"fixation","null","null","html-keyboard-response","19","2.0.0","7111","ggn","26","male","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","658"," ","html-keyboard-response","20","2.0.0","7112","ggn","26","male","true","true","true","<p class=""stimulus"">________ | ___ | _____ | _______ | _____</p>","fill_item","s0","sr","ss","",""
"item","501"," ","html-keyboard-response","21","2.0.0","7112","ggn","26","male","true","true","true","<p class=""stimulus"">The chef | ___ | _____ | _______ | _____</p>","fill_item","s1","sr","ss","",""
"item","639"," ","html-keyboard-response","22","2.0.0","7112","ggn","26","male","true","true","true","<p class=""stimulus"">________ | who | _____ | _______ | _____</p>","fill_item","s2","sr","ss","",""
"item","697"," ","html-keyboard-response","23","2.0.0","7112","ggn","26","male","true","true","true","<p class=""stimulus"">________ | ___ | grabs |________ | _____</p>","fill_item","s3","sr","ss","",""
"item","587"," ","html-keyboard-response","24","2.0.0","7112","ggn","26","male","true","true","true","<p class=""stimulus"">________ | ___ | _____ | the box | _____</p>","fill_item","s4","sr","ss","",""
"item","747"," ","html-keyboard-response","25","2.0.0","7112","ggn","26","male","true","true","true","<p class=""stimulus"">________ | ___ | _____ | _______ | jumps</p>","fill_item","s5","sr","ss","",""
