"task","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","age","gender","lang_ca","lang_sp","lang_en","stimulus","item_type","segment","clause_type","number","correct_answer","answer"
"survey","5691","{""age"":""21"",""gender"":""male"",""lang_ca"":""true"",""lang_en"":""true""}","survey-html-form","1","2.0.0","5693","h1n","21","male","true","","true","","","","","","",""
"fixation","null","null","html-keyboard-response","3","2.0.0","5695","h1n","21","male","true","","true","<p class=""fixation"">+</p>","","","","","",""
"item","550"," ","html-keyboard-response","4","2.0.0","5696","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | _____ | __________ | _____</p>","fill_item","s0","sr","ss","",""
"item","463"," ","html-keyboard-response","5","2.0.0","5696","h1n","21","male","true","","true","<p class=""stimulus"">The singer | ___ | _____ | __________ | _____</p>","fill_item","s1","sr","ss","",""
"item","859"," ","html-keyboard-response","6","2.0.0","5696","h1n","21","male","true","","true","<p class=""stimulus"">__________ | who | _____ | __________ | _____</p>","fill_item","s2","sr","ss","",""
"item","659"," ","html-keyboard-response","7","2.0.0","5696","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | plays |___________ | _____</p>","fill_item","s3","sr","ss","",""
"item","424"," ","html-keyboard-response","8","2.0.0","5696","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | _____ | the guitar | _____</p>","fill_item","s4","sr","ss","",""
"item","644"," ","html-keyboard-response","9","2.0.0","5696","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | _____ | __________ | sings</p>","fill_item","s5","sr","ss","",""
"question","877","1","html-button-response","10","2.0.0","5697","h1n","21","male","true","","true","<h2>Does the singer who plays the guitar cry?</h2>","","","sr","ss","false","false"
"fixation","null","null","html-keyboard-response","11","2.0.0","5697","h1n","21","male","true","","true","<p class=""fixation"">+</p>","","","","","",""
"item","511"," ","html-keyboard-response","12","2.0.0","5697","h1n","21","male","true","","true","<p class=""stimulus"">________ | ____ | _______ | ______ | ___</p>","exp_item","s0","or","ps","",""
"item","942"," ","html-keyboard-response","13","2.0.0","5697","h1n","21","male","true","","true","<p class=""stimulus"">The dogs | ____ | _______ | ______ | ___</p>","exp_item","s1","or","ps","",""
"item","517"," ","html-keyboard-response","14","2.0.0","5697","h1n","21","male","true","","true","<p class=""stimulus"">________ | that | _______ | ______ | ___</p>","exp_item","s2","or","ps","",""
"item","621"," ","html-keyboard-response","15","2.0.0","5697","h1n","21","male","true","","true","<p class=""stimulus"">________ | ____ | the cat | ______ | ___</p>","exp_item","s3","or","ps","",""
"item","552"," ","html-keyboard-response","16","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">________ | ____ | _______ | pushes | ___</p>","exp_item","s4","or","ps","",""
"item","818"," ","html-keyboard-response","17","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">________ | ____ | _______ | ______ | cry</p>","exp_item","s5","or","ps","",""
"question","747","0","html-button-response","18","2.0.0","5698","h1n","21","male","true","","true","<h2>Does the cat that the dogs push cry?</h2>","","","or","ps","false","true"
"fixation","null","null","html-keyboard-response","19","2.0.0","5698","h1n","21","male","true","","true","<p class=""fixation"">+</p>","","","","","",""
"item","584"," ","html-keyboard-response","20","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | ______ | __________ | _______</p>","fill_item","s0","sr","ss","",""
"item","566"," ","html-keyboard-response","21","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">The singer | ___ | ______ | __________ | _______</p>","fill_item","s1","sr","ss","",""
"item","574"," ","html-keyboard-response","22","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">__________ | who | ______ | __________ | _______</p>","fill_item","s2","sr","ss","",""
"item","491"," ","html-keyboard-response","23","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | throws |___________ | _______</p>","fill_item","s3","sr","ss","",""
"item","768"," ","html-keyboard-response","24","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | ______ | the guitar | _______</p>","fill_item","s4","sr","ss","",""
"item","789"," ","html-keyboard-response","25","2.0.0","5698","h1n","21","male","true","","true","<p class=""stimulus"">__________ | ___ | ______ | __________ | screams</p>","fill_item","s5","sr","ss","",""
"question","652","1","html-button-response","26","2.0.0","5698","h1n","21","male","true","","true","<h2>Does the singer who throws the guitar scream?</h2>","","","sr","ss","true","false"
"fixation","null","null","html-keyboard-response","27","2.0.0","5699","h1n","21","male","true","","true","<p class=""fixation"">+</p>","","","","","",""
