"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","oeo","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","579"," ","html-keyboard-response","3","2.0.0","2","oeo","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","584"," ","html-keyboard-response","4","2.0.0","2","oeo","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","469"," ","html-keyboard-response","5","2.0.0","2","oeo","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","599"," ","html-keyboard-response","6","2.0.0","2","oeo","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","672"," ","html-keyboard-response","7","2.0.0","2","oeo","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","734"," ","html-keyboard-response","8","2.0.0","2","oeo","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","782","1","html-button-response","9","2.0.0","2","oeo","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","oeo","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","745"," ","html-keyboard-response","11","2.0.0","2","oeo","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","867"," ","html-keyboard-response","12","2.0.0","2","oeo","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","545"," ","html-keyboard-response","13","2.0.0","2","oeo","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","582"," ","html-keyboard-response","14","2.0.0","3","oeo","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","470"," ","html-keyboard-response","15","2.0.0","3","oeo","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","660"," ","html-keyboard-response","16","2.0.0","3","oeo","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","598","0","html-button-response","17","2.0.0","3","oeo","exp_item","","or","pp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","3","oeo","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | ____</p>","532"," ","html-keyboard-response","20","2.0.0","3","oeo","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The horses | ____ | _____ | __________ | ____</p>","657"," ","html-keyboard-response","21","2.0.0","3","oeo","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">__________ | that | _____ | __________ | ____</p>","752"," ","html-keyboard-response","22","2.0.0","3","oeo","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | chase | __________ | ____</p>","548"," ","html-keyboard-response","23","2.0.0","3","oeo","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | the zebras | ____</p>","616"," ","html-keyboard-response","24","2.0.0","3","oeo","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | fall</p>","826"," ","html-keyboard-response","25","2.0.0","4","oeo","exp_item","s5","sr","pp","",""
"question","<h2>Do the horses that chase the zebras fall?</h2>","612","0","html-button-response","26","2.0.0","4","oeo","exp_item","","sr","pp","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","4","oeo","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | __________ | ______ | ____</p>","720"," ","html-keyboard-response","28","2.0.0","5","oeo","exp_item","s0","or","sp","",""
"item","<p class=""stimulus"">The zebra | ____ | __________ | ______ | ____</p>","600"," ","html-keyboard-response","29","2.0.0","5","oeo","exp_item","s1","or","sp","",""
"item","<p class=""stimulus"">_________ | that | __________ | ______ | ____</p>","784"," ","html-keyboard-response","30","2.0.0","5","oeo","exp_item","s2","or","sp","",""
"item","<p class=""stimulus"">_________ | ____ | the horses | ______ | ____</p>","734"," ","html-keyboard-response","31","2.0.0","5","oeo","exp_item","s3","or","sp","",""
"item","<p class=""stimulus"">_________ | ____ | __________ | follow | ____</p>","508"," ","html-keyboard-response","32","2.0.0","5","oeo","exp_item","s4","or","sp","",""
