"task","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","age","gender","lang_ca","lang_sp","lang_en","stimulus","item_type","segment","clause_type","number","correct_answer","answer"
"survey","5745","{""age"":""25"",""gender"":""female"",""lang_ca"":""true"",""lang_sp"":""true""}","survey-html-form","1","2.0.0","5748","qkh","25","female","true","true","","","","","","","",""
"fixation","null","null","html-keyboard-response","3","2.0.0","5749","qkh","25","female","true","true","","<p class=""fixation"">+</p>","","","","","",""
"item","536"," ","html-keyboard-response","4","2.0.0","5750","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | _____ | _______ | _____</p>","fill_item","s0","sr","ss","",""
"item","587"," ","html-keyboard-response","5","2.0.0","5750","qkh","25","female","true","true","","<p class=""stimulus"">The chef | ___ | _____ | _______ | _____</p>","fill_item","s1","sr","ss","",""
"item","813"," ","html-keyboard-response","6","2.0.0","5750","qkh","25","female","true","true","","<p class=""stimulus"">________ | who | _____ | _______ | _____</p>","fill_item","s2","sr","ss","",""
"item","548"," ","html-keyboard-response","7","2.0.0","5750","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | kicks |________ | _____</p>","fill_item","s3","sr","ss","",""
"item","546"," ","html-keyboard-response","8","2.0.0","5750","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | _____ | the box | _____</p>","fill_item","s4","sr","ss","",""
"item","587"," ","html-keyboard-response","9","2.0.0","5751","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | _____ | _______ | cries</p>","fill_item","s5","sr","ss","",""
"question","611","0","html-button-response","10","2.0.0","5751","qkh","25","female","true","true","","<h2>Does the chef who kicks the box cry?</h2>","","","sr","ss","true","true"
"fixation","null","null","html-keyboard-response","11","2.0.0","5751","qkh","25","female","true","true","","<p class=""fixation"">+</p>","","","","","",""
"item","603"," ","html-keyboard-response","12","2.0.0","5751","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | _______ | _______ | _____</p>","fill_item","s0","sr","ss","",""
"item","911"," ","html-keyboard-response","13","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">The chef | ___ | _______ | _______ | _____</p>","fill_item","s1","sr","ss","",""
"item","703"," ","html-keyboard-response","14","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">________ | who | _______ | _______ | _____</p>","fill_item","s2","sr","ss","",""
"item","932"," ","html-keyboard-response","15","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | carries |________ | _____</p>","fill_item","s3","sr","ss","",""
"item","619"," ","html-keyboard-response","16","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | _______ | the box | _____</p>","fill_item","s4","sr","ss","",""
"item","580"," ","html-keyboard-response","17","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">________ | ___ | _______ | _______ | falls</p>","fill_item","s5","sr","ss","",""
"question","573","0","html-button-response","18","2.0.0","5752","qkh","25","female","true","true","","<h2>Does the chef who carries the box fall?</h2>","","","sr","ss","true","true"
"fixation","null","null","html-keyboard-response","19","2.0.0","5752","qkh","25","female","true","true","","<p class=""fixation"">+</p>","","","","","",""
"item","641"," ","html-keyboard-response","20","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">_________ | ___ | ______ | __________ | ______</p>","fill_item","s0","sr","ss","",""
"item","686"," ","html-keyboard-response","21","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">The woman | ___ | ______ | __________ | ______</p>","fill_item","s1","sr","ss","",""
"item","494"," ","html-keyboard-response","22","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">_________ | who | ______ | __________ | ______</p>","fill_item","s2","sr","ss","",""
"item","873"," ","html-keyboard-response","23","2.0.0","5752","qkh","25","female","true","true","","<p class=""stimulus"">_________ | ___ | throws |___________ | ______</p>","fill_item","s3","sr","ss","",""
"item","545"," ","html-keyboard-response","24","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">_________ | ___ | ______ | the letter | ______</p>","fill_item","s4","sr","ss","",""
"item","486"," ","html-keyboard-response","25","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">_________ | ___ | ______ | __________ | screams</p>","fill_item","s5","sr","ss","",""
"question","670","0","html-button-response","26","2.0.0","5753","qkh","25","female","true","true","","<h2>Does the woman who throws the letter smile?</h2>","","","sr","ss","false","true"
"fixation","null","null","html-keyboard-response","27","2.0.0","5753","qkh","25","female","true","true","","<p class=""fixation"">+</p>","","","","","",""
"item","734"," ","html-keyboard-response","28","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">__________ | ____ | _________ | _______ | ___</p>","exp_item","s0","or","ps","",""
"item","857"," ","html-keyboard-response","29","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">The zebras | ____ | _________ | _______ | ___</p>","exp_item","s1","or","ps","",""
"item","566"," ","html-keyboard-response","30","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">__________ | that | _________ | _______ | ___</p>","exp_item","s2","or","ps","",""
"item","443"," ","html-keyboard-response","31","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">__________ | ____ | the horse | _______ | ___</p>","exp_item","s3","or","ps","",""
"item","413"," ","html-keyboard-response","32","2.0.0","5753","qkh","25","female","true","true","","<p class=""stimulus"">__________ | ____ | _________ | follows | ___</p>","exp_item","s4","or","ps","",""
