"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","qpv","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","530"," ","html-keyboard-response","3","2.0.0","1","qpv","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","769"," ","html-keyboard-response","4","2.0.0","1","qpv","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","726"," ","html-keyboard-response","5","2.0.0","1","qpv","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","774"," ","html-keyboard-response","6","2.0.0","1","qpv","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","589"," ","html-keyboard-response","7","2.0.0","1","qpv","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","557"," ","html-keyboard-response","8","2.0.0","1","qpv","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","498","0","html-button-response","9","2.0.0","1","qpv","pr_item","","sr","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","1","qpv","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","718"," ","html-keyboard-response","11","2.0.0","1","qpv","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","571"," ","html-keyboard-response","12","2.0.0","1","qpv","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","783"," ","html-keyboard-response","13","2.0.0","1","qpv","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","695"," ","html-keyboard-response","14","2.0.0","1","qpv","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","648"," ","html-keyboard-response","15","2.0.0","2","qpv","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","593"," ","html-keyboard-response","16","2.0.0","2","qpv","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","587","1","html-button-response","17","2.0.0","2","qpv","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","2","qpv","","","","","",""
"item","<p class=""stimulus"">__________ | ___ | ______ | __________ | _______</p>","618"," ","html-keyboard-response","20","2.0.0","2","qpv","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The singer | ___ | ______ | __________ | _______</p>","572"," ","html-keyboard-response","21","2.0.0","2","qpv","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">__________ | who | ______ | __________ | _______</p>","529"," ","html-keyboard-response","22","2.0.0","2","qpv","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | throws |___________ | _______</p>","638"," ","html-keyboard-response","23","2.0.0","2","qpv","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | ______ | the guitar | _______</p>","645"," ","html-keyboard-response","24","2.0.0","2","qpv","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | ______ | __________ | screams</p>","579"," ","html-keyboard-response","25","2.0.0","2","qpv","fill_item","s5","sr","ss","",""
"question","<h2>Does the singer who throws the guitar scream?</h2>","583","1","html-button-response","26","2.0.0","2","qpv","fill_item","","sr","ss","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","2","qpv","","","","","",""
"item","<p class=""stimulus"">________ | ___ | _______ | _______ | _____</p>","622"," ","html-keyboard-response","28","2.0.0","3","qpv","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The chef | ___ | _______ | _______ | _____</p>","456"," ","html-keyboard-response","29","2.0.0","3","qpv","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">________ | who | _______ | _______ | _____</p>","527"," ","html-keyboard-response","30","2.0.0","3","qpv","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | carries |________ | _____</p>","559"," ","html-keyboard-response","31","2.0.0","3","qpv","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _______ | the box | _____</p>","631"," ","html-keyboard-response","32","2.0.0","3","qpv","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _______ | _______ | falls</p>","472"," ","html-keyboard-response","33","2.0.0","3","qpv","fill_item","s5","sr","ss","",""
"question","<h2>Does the chef who carries the box fall?</h2>","631","0","html-button-response","34","2.0.0","3","qpv","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","3","qpv","","","","","",""
"item","<p class=""stimulus"">________ | ____ | _______ | ____ | _____</p>","742"," ","html-keyboard-response","36","2.0.0","3","qpv","exp_item","s0","or","ps","",""
"item","<p class=""stimulus"">The cats | ____ | _______ | ____ | _____</p>","1014"," ","html-keyboard-response","37","2.0.0","3","qpv","exp_item","s1","or","ps","",""
"item","<p class=""stimulus"">________ | that | _______ | ____ | _____</p>","654"," ","html-keyboard-response","38","2.0.0","3","qpv","exp_item","s2","or","ps","",""
"item","<p class=""stimulus"">________ | ____ | the dog | ____ | _____</p>","462"," ","html-keyboard-response","39","2.0.0","3","qpv","exp_item","s3","or","ps","",""
"item","<p class=""stimulus"">________ | ____ | _______ | hugs | _____</p>","530"," ","html-keyboard-response","40","2.0.0","3","qpv","exp_item","s4","or","ps","",""
