"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","s62","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","648"," ","html-keyboard-response","3","2.0.0","1","s62","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","717"," ","html-keyboard-response","4","2.0.0","1","s62","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","860"," ","html-keyboard-response","5","2.0.0","1","s62","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","587"," ","html-keyboard-response","6","2.0.0","2","s62","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","646"," ","html-keyboard-response","7","2.0.0","2","s62","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","642"," ","html-keyboard-response","8","2.0.0","2","s62","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","810","0","html-button-response","9","2.0.0","2","s62","pr_item","","sr","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","s62","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","595"," ","html-keyboard-response","11","2.0.0","2","s62","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","565"," ","html-keyboard-response","12","2.0.0","2","s62","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","802"," ","html-keyboard-response","13","2.0.0","2","s62","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","663"," ","html-keyboard-response","14","2.0.0","2","s62","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","540"," ","html-keyboard-response","15","2.0.0","2","s62","exp_item","s4","or","pp","",""
