"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","tds","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","574"," ","html-keyboard-response","3","2.0.0","1","tds","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","486"," ","html-keyboard-response","4","2.0.0","1","tds","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","594"," ","html-keyboard-response","5","2.0.0","1","tds","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","669"," ","html-keyboard-response","6","2.0.0","1","tds","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","648"," ","html-keyboard-response","7","2.0.0","1","tds","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","611"," ","html-keyboard-response","8","2.0.0","1","tds","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","519","1","html-button-response","9","2.0.0","1","tds","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","tds","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","715"," ","html-keyboard-response","11","2.0.0","2","tds","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","1140"," ","html-keyboard-response","12","2.0.0","2","tds","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","639"," ","html-keyboard-response","13","2.0.0","2","tds","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","724"," ","html-keyboard-response","14","2.0.0","2","tds","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","613"," ","html-keyboard-response","15","2.0.0","2","tds","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","899"," ","html-keyboard-response","16","2.0.0","2","tds","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","476","1","html-button-response","17","2.0.0","2","tds","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","2","tds","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | ____</p>","700"," ","html-keyboard-response","20","2.0.0","2","tds","exp_item","s0","sr","pp","",""
"item","<p class=""stimulus"">The horses | ____ | _____ | __________ | ____</p>","574"," ","html-keyboard-response","21","2.0.0","2","tds","exp_item","s1","sr","pp","",""
"item","<p class=""stimulus"">__________ | that | _____ | __________ | ____</p>","553"," ","html-keyboard-response","22","2.0.0","2","tds","exp_item","s2","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | chase | __________ | ____</p>","597"," ","html-keyboard-response","23","2.0.0","2","tds","exp_item","s3","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | the zebras | ____</p>","417"," ","html-keyboard-response","24","2.0.0","2","tds","exp_item","s4","sr","pp","",""
"item","<p class=""stimulus"">__________ | ____ | _____ | __________ | fall</p>","587"," ","html-keyboard-response","25","2.0.0","2","tds","exp_item","s5","sr","pp","",""
"question","<h2>Do the horses that chase the zebras fall?</h2>","837","1","html-button-response","26","2.0.0","2","tds","exp_item","","sr","pp","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","2","tds","","","","","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | _______</p>","687"," ","html-keyboard-response","28","2.0.0","3","tds","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The woman | ___ | ______ | __________ | _______</p>","559"," ","html-keyboard-response","29","2.0.0","3","tds","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | who | ______ | __________ | _______</p>","1199"," ","html-keyboard-response","30","2.0.0","3","tds","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | stores |___________ | _______</p>","601"," ","html-keyboard-response","31","2.0.0","3","tds","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | the letter | _______</p>","551"," ","html-keyboard-response","32","2.0.0","3","tds","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_________ | ___ | ______ | __________ | murmurs</p>","580"," ","html-keyboard-response","33","2.0.0","3","tds","fill_item","s5","sr","ss","",""
"question","<h2>Does the woman who stores the letter murmur?</h2>","759","0","html-button-response","34","2.0.0","3","tds","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","35","2.0.0","3","tds","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | ________ | _____</p>","897"," ","html-keyboard-response","36","2.0.0","3","tds","exp_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The dog | ____ | ______ | ________ | _____</p>","530"," ","html-keyboard-response","37","2.0.0","3","tds","exp_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | ______ | ________ | _____</p>","649"," ","html-keyboard-response","38","2.0.0","3","tds","exp_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | pushes | ________ | _____</p>","523"," ","html-keyboard-response","39","2.0.0","3","tds","exp_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | the cats | _____</p>","743"," ","html-keyboard-response","40","2.0.0","3","tds","exp_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ______ | ________ | cries</p>","636"," ","html-keyboard-response","41","2.0.0","3","tds","exp_item","s5","sr","sp","",""
"question","<h2>Do the cats that push the dog cry?</h2>","764","0","html-button-response","42","2.0.0","3","tds","exp_item","","sr","sp","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","43","2.0.0","3","tds","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | __________ | ____</p>","458"," ","html-keyboard-response","44","2.0.0","4","tds","exp_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The zebra | ____ | _______ | __________ | ____</p>","524"," ","html-keyboard-response","45","2.0.0","4","tds","exp_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_________ | that | _______ | __________ | ____</p>","484"," ","html-keyboard-response","46","2.0.0","4","tds","exp_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_________ | ____ | follows | __________ | ____</p>","592"," ","html-keyboard-response","47","2.0.0","4","tds","exp_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | the horses | ____</p>","547"," ","html-keyboard-response","48","2.0.0","4","tds","exp_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | __________ | runs</p>","651"," ","html-keyboard-response","49","2.0.0","4","tds","exp_item","s5","sr","sp","",""
"question","<h2>Does the zebra that follows the horses run?</h2>","609","1","html-button-response","50","2.0.0","4","tds","exp_item","","sr","sp","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","51","2.0.0","4","tds","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ____ | ______</p>","501"," ","html-keyboard-response","52","2.0.0","4","tds","exp_item","s0","or","ss","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ____ | ______</p>","595"," ","html-keyboard-response","53","2.0.0","4","tds","exp_item","s1","or","ss","",""
"item","<p class=""stimulus"">_______ | that | _______ | ____ | ______</p>","520"," ","html-keyboard-response","54","2.0.0","4","tds","exp_item","s2","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | the dog | ____ | ______</p>","806"," ","html-keyboard-response","55","2.0.0","4","tds","exp_item","s3","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | hugs | ______</p>","643"," ","html-keyboard-response","56","2.0.0","4","tds","exp_item","s4","or","ss","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ____ | smiles</p>","513"," ","html-keyboard-response","57","2.0.0","4","tds","exp_item","s5","or","ss","",""
"question","<h2>Does the cat that the dog hugs smile?","776","0","html-button-response","58","2.0.0","4","tds","exp_item","","or","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","59","2.0.0","4","tds","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | ____ | ________ | ______</p>","641"," ","html-keyboard-response","60","2.0.0","4","tds","exp_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | ____ | ________ | ______</p>","593"," ","html-keyboard-response","61","2.0.0","4","tds","exp_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | ____ | ________ | ______</p>","543"," ","html-keyboard-response","62","2.0.0","4","tds","exp_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | hugs | ________ | ______</p>","542"," ","html-keyboard-response","63","2.0.0","4","tds","exp_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ____ | the dogs | ______</p>","498"," ","html-keyboard-response","64","2.0.0","4","tds","exp_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | ____ | ________ | smiles</p>","1023"," ","html-keyboard-response","65","2.0.0","4","tds","exp_item","s5","sr","sp","",""
"question","<h2>Does the cat that hugs the dogs smile?</h2>","559","1","html-button-response","66","2.0.0","4","tds","exp_item","","sr","sp","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","67","2.0.0","4","tds","","","","","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | _____</p>","807"," ","html-keyboard-response","68","2.0.0","4","tds","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The chef | ___ | _____ | _______ | _____</p>","1218"," ","html-keyboard-response","69","2.0.0","4","tds","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">________ | who | _____ | _______ | _____</p>","1360"," ","html-keyboard-response","70","2.0.0","4","tds","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | grabs |________ | _____</p>","462"," ","html-keyboard-response","71","2.0.0","4","tds","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | the box | _____</p>","1063"," ","html-keyboard-response","72","2.0.0","4","tds","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">________ | ___ | _____ | _______ | jumps</p>","869"," ","html-keyboard-response","73","2.0.0","4","tds","fill_item","s5","sr","ss","",""
"question","<h2>Does the box that the chef grabs fall?</h2>","454","0","html-button-response","74","2.0.0","4","tds","fill_item","","sr","ss","0","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","75","2.0.0","4","tds","","","","","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | __________ | _____</p>","713"," ","html-keyboard-response","76","2.0.0","4","tds","fill_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The singer | ___ | _____ | __________ | _____</p>","970"," ","html-keyboard-response","77","2.0.0","5","tds","fill_item","s1","sr","ss","",""
"item","<p class=""stimulus"">__________ | who | _____ | __________ | _____</p>","407"," ","html-keyboard-response","78","2.0.0","5","tds","fill_item","s2","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | grabs |___________ | _____</p>","759"," ","html-keyboard-response","79","2.0.0","5","tds","fill_item","s3","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | the guitar | _____</p>","809"," ","html-keyboard-response","80","2.0.0","5","tds","fill_item","s4","sr","ss","",""
"item","<p class=""stimulus"">__________ | ___ | _____ | __________ | cries</p>","654"," ","html-keyboard-response","81","2.0.0","5","tds","fill_item","s5","sr","ss","",""
"question","<h2>Does the singer who grabs the guitar cry?</h2>","547","0","html-button-response","82","2.0.0","5","tds","fill_item","","sr","ss","1","0"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","83","2.0.0","5","tds","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ___ | _______ | _____</p>","502"," ","html-keyboard-response","84","2.0.0","5","tds","exp_item","s0","sr","ps","",""
"item","<p class=""stimulus"">The cats | ____ | ___ | _______ | _____</p>","648"," ","html-keyboard-response","85","2.0.0","5","tds","exp_item","s1","sr","ps","",""
"item","<p class=""stimulus"">________ | that | ___ | _______ | _____</p>","524"," ","html-keyboard-response","86","2.0.0","5","tds","exp_item","s2","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | hug | _______ | _____</p>","1044"," ","html-keyboard-response","87","2.0.0","5","tds","exp_item","s3","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ___ | the dog | _____</p>","628"," ","html-keyboard-response","88","2.0.0","5","tds","exp_item","s4","sr","ps","",""
"item","<p class=""stimulus"">________ | ____ | ___ | _______ | smile</p>","542"," ","html-keyboard-response","89","2.0.0","5","tds","exp_item","s5","sr","ps","",""
"question","<h2>Do the cats that hug the dogs smile?</h2>","530","1","html-button-response","90","2.0.0","5","tds","exp_item","","sr","ps","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","91","2.0.0","5","tds","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | _________ | ____</p>","610"," ","html-keyboard-response","92","2.0.0","5","tds","exp_item","s0","sr","ss","",""
"item","<p class=""stimulus"">The zebra | ____ | _______ | _________ | ____</p>","520"," ","html-keyboard-response","93","2.0.0","5","tds","exp_item","s1","sr","ss","",""
"item","<p class=""stimulus"">_________ | that | _______ | _________ | ____</p>","698"," ","html-keyboard-response","94","2.0.0","5","tds","exp_item","s2","sr","ss","",""
"item","<p class=""stimulus"">_________ | ____ | follows | _________ | ____</p>","623"," ","html-keyboard-response","95","2.0.0","5","tds","exp_item","s3","sr","ss","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | the horse | ____</p>","626"," ","html-keyboard-response","96","2.0.0","5","tds","exp_item","s4","sr","ss","",""
"item","<p class=""stimulus"">_________ | ____ | _______ | _________ | runs</p>","997"," ","html-keyboard-response","97","2.0.0","5","tds","exp_item","s5","sr","ss","",""
"question","<h2>Does the zebra that follows the horse run?</h2>","501","0","html-button-response","98","2.0.0","6","tds","exp_item","","sr","ss","1","0"
