"task","stimulus","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","item_type","segment","clause_type","number","correct_answer","answer"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","2","2.0.0","1","vbv","","","","","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | ____</p>","557"," ","html-keyboard-response","3","2.0.0","1","vbv","pr_item","s0","sr","sp","",""
"item","<p class=""stimulus"">The cat | ____ | _______ | ________ | ____</p>","648"," ","html-keyboard-response","4","2.0.0","1","vbv","pr_item","s1","sr","sp","",""
"item","<p class=""stimulus"">_______ | that | _______ | ________ | ____</p>","667"," ","html-keyboard-response","5","2.0.0","1","vbv","pr_item","s2","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | watches | ________ | ____</p>","412"," ","html-keyboard-response","6","2.0.0","1","vbv","pr_item","s3","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | the dogs | ____</p>","498"," ","html-keyboard-response","7","2.0.0","1","vbv","pr_item","s4","sr","sp","",""
"item","<p class=""stimulus"">_______ | ____ | _______ | ________ | eats</p>","655"," ","html-keyboard-response","8","2.0.0","2","vbv","pr_item","s5","sr","sp","",""
"question","<h2>Do the dogs that watch the cat eat?</h2>","645","1","html-button-response","9","2.0.0","2","vbv","pr_item","","sr","sp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","10","2.0.0","2","vbv","","","","","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | ___</p>","635"," ","html-keyboard-response","11","2.0.0","2","vbv","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The cats | ____ | ________ | _____ | ___</p>","460"," ","html-keyboard-response","12","2.0.0","2","vbv","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">________ | that | ________ | _____ | ___</p>","592"," ","html-keyboard-response","13","2.0.0","2","vbv","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | the dogs | _____ | ___</p>","591"," ","html-keyboard-response","14","2.0.0","2","vbv","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | watch | ___</p>","875"," ","html-keyboard-response","15","2.0.0","2","vbv","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">________ | ____ | ________ | _____ | eat</p>","612"," ","html-keyboard-response","16","2.0.0","2","vbv","exp_item","s5","or","pp","",""
"question","<h2>Do the dogs that the cats watch eat?</h2>","504","1","html-button-response","17","2.0.0","2","vbv","exp_item","","or","pp","0","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","19","2.0.0","2","vbv","","","","","",""
"item","<p class=""stimulus"">_________ | ____ | __________ | _____ | _____</p>","507"," ","html-keyboard-response","20","2.0.0","3","vbv","exp_item","s0","or","sp","",""
"item","<p class=""stimulus"">The horse | ____ | __________ | _____ | _____</p>","486"," ","html-keyboard-response","21","2.0.0","3","vbv","exp_item","s1","or","sp","",""
"item","<p class=""stimulus"">_________ | that | __________ | _____ | _____</p>","617"," ","html-keyboard-response","22","2.0.0","3","vbv","exp_item","s2","or","sp","",""
"item","<p class=""stimulus"">_________ | ____ | the zebras | _____ | _____</p>","847"," ","html-keyboard-response","23","2.0.0","3","vbv","exp_item","s3","or","sp","",""
"item","<p class=""stimulus"">_________ | ____ | __________ | chase | _____</p>","688"," ","html-keyboard-response","24","2.0.0","3","vbv","exp_item","s4","or","sp","",""
"item","<p class=""stimulus"">_________ | ____ | __________ | _____ | falls</p>","632"," ","html-keyboard-response","25","2.0.0","3","vbv","exp_item","s5","or","sp","",""
"question","<h2>Does the horse that the zebras chase fall?</h2>","713","1","html-button-response","26","2.0.0","3","vbv","exp_item","","or","sp","1","1"
"fixation","<p class=""fixation"">+</p>","null","null","html-keyboard-response","27","2.0.0","3","vbv","","","","","",""
"item","<p class=""stimulus"">__________ | ____ | __________ | _____ | ____</p>","634"," ","html-keyboard-response","28","2.0.0","3","vbv","exp_item","s0","or","pp","",""
"item","<p class=""stimulus"">The horses | ____ | __________ | _____ | ____</p>","642"," ","html-keyboard-response","29","2.0.0","3","vbv","exp_item","s1","or","pp","",""
"item","<p class=""stimulus"">__________ | that | __________ | _____ | ____</p>","591"," ","html-keyboard-response","30","2.0.0","3","vbv","exp_item","s2","or","pp","",""
"item","<p class=""stimulus"">__________ | ____ | the zebras | _____ | ____</p>","1121"," ","html-keyboard-response","31","2.0.0","3","vbv","exp_item","s3","or","pp","",""
"item","<p class=""stimulus"">__________ | ____ | __________ | chase | ____</p>","606"," ","html-keyboard-response","32","2.0.0","3","vbv","exp_item","s4","or","pp","",""
"item","<p class=""stimulus"">__________ | ____ | __________ | _____ | fall</p>","521"," ","html-keyboard-response","33","2.0.0","3","vbv","exp_item","s5","or","pp","",""
