"task","rt","response","trial_type","trial_index","plugin_version","time_elapsed","part_id","age","gender","lang_ca","lang_sp","lang_en","stimulus","item_type","segment","clause_type","number","correct_answer","answer"
"survey","11181","{""age"":""23"",""gender"":""male"",""lang_ca"":""true"",""lang_sp"":""true"",""lang_en"":""true""}","survey-html-form","1","2.0.0","11188","y8r","23","male","true","true","true","","","","","","",""
"fixation","null","null","html-keyboard-response","3","2.0.0","11190","y8r","23","male","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","507"," ","html-keyboard-response","4","2.0.0","11191","y8r","23","male","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | __________ | _____</p>","exp_item","s0","sr","pp","",""
"item","810"," ","html-keyboard-response","5","2.0.0","11191","y8r","23","male","true","true","true","<p class=""stimulus"">The horses | ____ | _____ | __________ | _____</p>","exp_item","s1","sr","pp","",""
"item","569"," ","html-keyboard-response","6","2.0.0","11191","y8r","23","male","true","true","true","<p class=""stimulus"">__________ | that | _____ | __________ | _____</p>","exp_item","s2","sr","pp","",""
"item","526"," ","html-keyboard-response","7","2.0.0","11192","y8r","23","male","true","true","true","<p class=""stimulus"">__________ | ____ | chase | __________ | _____</p>","exp_item","s3","sr","pp","",""
"item","541"," ","html-keyboard-response","8","2.0.0","11192","y8r","23","male","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | the zebras | ____ </p>","exp_item","s4","sr","pp","",""
"item","641"," ","html-keyboard-response","9","2.0.0","11192","y8r","23","male","true","true","true","<p class=""stimulus"">__________ | ____ | _____ | __________ | fall </p>","exp_item","s5","sr","pp","",""
"question","679","1","html-button-response","10","2.0.0","11192","y8r","23","male","true","true","true","<h2>Do the horses that chase the zebras fall?</h2>","","","sr","pp","true","false"
"fixation","null","null","html-keyboard-response","11","2.0.0","11193","y8r","23","male","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","530"," ","html-keyboard-response","12","2.0.0","11193","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | ___ | _______ | _____</p>","exp_item","s0","sr","ps","",""
"item","574"," ","html-keyboard-response","13","2.0.0","11193","y8r","23","male","true","true","true","<p class=""stimulus"">The cats | ____ | ___ | _______ | _____</p>","exp_item","s1","sr","ps","",""
"item","575"," ","html-keyboard-response","14","2.0.0","11193","y8r","23","male","true","true","true","<p class=""stimulus"">________ | that | ___ | _______ | _____</p>","exp_item","s2","sr","ps","",""
"item","650"," ","html-keyboard-response","15","2.0.0","11193","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | hug | _______ | _____</p>","exp_item","s3","sr","ps","",""
"item","778"," ","html-keyboard-response","16","2.0.0","11193","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | ___ | the dog | _____</p>","exp_item","s4","sr","ps","",""
"item","582"," ","html-keyboard-response","17","2.0.0","11193","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | ___ | _______ | smile</p>","exp_item","s5","sr","ps","",""
"question","476","1","html-button-response","18","2.0.0","11194","y8r","23","male","true","true","true","<h2>Do the cats that hug the dogs smile?</h2>","","","sr","ps","true","false"
"fixation","null","null","html-keyboard-response","19","2.0.0","11194","y8r","23","male","true","true","true","<p class=""fixation"">+</p>","","","","","",""
"item","591"," ","html-keyboard-response","20","2.0.0","11194","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | _______ | ______ | ___</p>","exp_item","s0","or","ps","",""
"item","679"," ","html-keyboard-response","21","2.0.0","11194","y8r","23","male","true","true","true","<p class=""stimulus"">The dogs | ____ | _______ | ______ | ___</p>","exp_item","s1","or","ps","",""
"item","505"," ","html-keyboard-response","22","2.0.0","11194","y8r","23","male","true","true","true","<p class=""stimulus"">________ | that | _______ | ______ | ___</p>","exp_item","s2","or","ps","",""
"item","717"," ","html-keyboard-response","23","2.0.0","11194","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | the cat | ______ | ___</p>","exp_item","s3","or","ps","",""
"item","621"," ","html-keyboard-response","24","2.0.0","11194","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | _______ | pushes | ___</p>","exp_item","s4","or","ps","",""
"item","431"," ","html-keyboard-response","25","2.0.0","11194","y8r","23","male","true","true","true","<p class=""stimulus"">________ | ____ | _______ | ______ | cry</p>","exp_item","s5","or","ps","",""
"question","531","0","html-button-response","26","2.0.0","11194","y8r","23","male","true","true","true","<h2>Does the cat that the dogs push cry?</h2>","","","or","ps","false","true"
